,90,42,43,40,46,180,190,36,130,10,20,30,172,192,14,71,112,114,140,1822,11,111,62,13,57,110,23,51,80,160,33,163,17,35,1712,173,100,120,1821,1823,12,72,61,84,25,841,170,60,73,70,125,181,50,1721,1123,141,166,91,133,54,37,311,41,31,124,213,16,32,45,22,183,203,193,150,56,253,174,122,26,113,83,1244,75,231,128,1043,874,234,182,194,63,52,353,53,1044,331,191,15,81,161,186,332,1384,18,138,233,44,27,211,1121,831,115,1056,85,1243,171,214,1711,1014,39,175,1124,871,55,833,129,132,1241,82,195,862,19,241,144,143,202,1312,1383,1053,154,151,333,863,131,1246,1122,1724,185,28,64,93,121,127,1723,86,101,145,38,842,1831,134,164,162,106,873,21,861,152,334,74,153,356,1722,232,212,139,243,312,142,102,1041,1031,105,1411,196,256,341,1622,1233,811,1832,1231,92,872,201
AUT,,33.0,28.0,16.0,12.0,,2.0,5.0,,13.0,2.0,1.0,2.0,,,,,,,,,,,9.0,2.0,1.0,2.0,2.0,9.0,,,,,,,,5.0,,,,,,2.0,5.0,,2.0,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
PAK,48.0,252.0,217.0,212.0,116.0,4.0,67.0,209.0,9.0,191.0,110.0,50.0,5.0,4.0,11.0,20.0,53.0,4.0,,2.0,,31.0,1.0,42.0,38.0,49.0,15.0,124.0,16.0,20.0,9.0,,23.0,2.0,2.0,64.0,15.0,51.0,1.0,,29.0,1.0,23.0,18.0,4.0,11.0,1.0,19.0,,14.0,,6.0,27.0,2.0,1.0,4.0,,,,,,5.0,,8.0,1.0,,6.0,,,6.0,4.0,,43.0,,,2.0,2.0,2.0,14.0,1.0,2.0,,,,5.0,,8.0,,4.0,3.0,,,11.0,,,3.0,,7.0,11.0,,4.0,,1.0,5.0,1.0,,12.0,,,,2.0,3.0,,,,,,,2.0,,,7.0,,,3.0,,,2.0,,4.0,29.0,4.0,,,1.0,,,,11.0,2.0,1.0,1.0,,,,4.0,,,6.0,,,,,1.0,,,,,,1.0,,2.0,8.0,,,,,,,,1.0,,,,,,6.0,,,,,,,,20.0,,,,,,,,,,
GBR,169.0,523.0,486.0,413.0,338.0,40.0,182.0,286.0,280.0,590.0,362.0,120.0,51.0,45.0,95.0,38.0,214.0,15.0,4.0,1.0,26.0,415.0,8.0,201.0,106.0,204.0,2.0,225.0,78.0,174.0,9.0,25.0,31.0,4.0,11.0,492.0,100.0,150.0,7.0,3.0,382.0,19.0,29.0,247.0,19.0,101.0,3.0,99.0,29.0,54.0,3.0,23.0,79.0,,9.0,37.0,,1.0,,,,5.0,8.0,11.0,16.0,,16.0,4.0,5.0,5.0,6.0,,88.0,3.0,2.0,30.0,26.0,2.0,32.0,,,,4.0,2.0,102.0,4.0,32.0,3.0,18.0,3.0,16.0,4.0,72.0,1.0,3.0,3.0,2.0,23.0,8.0,9.0,3.0,1.0,3.0,,32.0,,4.0,7.0,,8.0,12.0,,1.0,,9.0,5.0,20.0,84.0,1.0,,5.0,6.0,2.0,8.0,4.0,,1.0,,,3.0,,1.0,,,11.0,,,,19.0,8.0,,,,1.0,,4.0,,,,,,1.0,19.0,2.0,,,6.0,,3.0,,,,,,,,,2.0,2.0,1.0,,2.0,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,,2.0
ISR,23.0,112.0,112.0,113.0,32.0,3.0,43.0,62.0,11.0,124.0,78.0,20.0,10.0,8.0,6.0,16.0,37.0,3.0,8.0,2.0,4.0,87.0,4.0,33.0,8.0,41.0,,93.0,18.0,3.0,,55.0,6.0,2.0,15.0,31.0,9.0,26.0,9.0,,12.0,2.0,9.0,4.0,,12.0,3.0,19.0,,5.0,5.0,,27.0,,1.0,21.0,,,,9.0,,,2.0,,,,4.0,,4.0,,1.0,,25.0,,,,3.0,,4.0,,2.0,,4.0,,6.0,,5.0,,11.0,5.0,,5.0,,1.0,,,,4.0,5.0,,2.0,5.0,,,3.0,,4.0,2.0,,,,,,,,1.0,1.0,,4.0,1.0,8.0,2.0,,3.0,,,,,,3.0,,,1.0,,,,5.0,,,4.0,,,,,,,,,4.0,,,,3.0,,,,4.0,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,1.0
PSE,3.0,55.0,47.0,33.0,27.0,2.0,30.0,35.0,5.0,46.0,25.0,5.0,3.0,5.0,,10.0,5.0,,9.0,2.0,1.0,6.0,,5.0,2.0,23.0,,47.0,4.0,4.0,,,9.0,,10.0,8.0,3.0,9.0,,,3.0,,1.0,,,5.0,2.0,4.0,,5.0,2.0,,9.0,,2.0,13.0,,,,2.0,,,,,,,2.0,,4.0,,,,12.0,,,,,,,,2.0,,1.0,,2.0,,6.0,,13.0,3.0,,2.0,,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,1.0,6.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
NLD,4.0,53.0,49.0,32.0,32.0,,19.0,26.0,2.0,28.0,19.0,8.0,,,5.0,2.0,7.0,3.0,,,1.0,9.0,,10.0,2.0,3.0,,44.0,11.0,2.0,2.0,,4.0,2.0,,21.0,1.0,5.0,,,6.0,,1.0,,2.0,5.0,,11.0,2.0,11.0,,,,,,,,,,,,5.0,,,,,1.0,,,4.0,,,6.0,,,,1.0,,1.0,,,,4.0,1.0,,2.0,,,,,,1.0,,,,,,7.0,2.0,2.0,,,,,,,,,,,20.0,1.0,,,,,,,,,,,,3.0,,,,27.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
SWE,9.0,20.0,18.0,76.0,23.0,21.0,14.0,7.0,9.0,57.0,62.0,18.0,2.0,,,,13.0,2.0,,,1.0,3.0,4.0,28.0,4.0,2.0,2.0,37.0,4.0,3.0,1.0,1.0,1.0,,,59.0,3.0,5.0,,,21.0,,3.0,27.0,,15.0,,19.0,,2.0,3.0,2.0,3.0,2.0,,1.0,,,,,,,18.0,1.0,,,,,,15.0,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,7.0,,,,,,,1.0,,,,,9.0,1.0,,,,,,,,,8.0,,2.0,,4.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,64.0,274.0,246.0,354.0,177.0,40.0,152.0,55.0,235.0,473.0,237.0,46.0,9.0,77.0,24.0,25.0,291.0,3.0,,,11.0,288.0,2.0,129.0,37.0,115.0,6.0,75.0,46.0,59.0,,91.0,3.0,,7.0,356.0,45.0,180.0,,2.0,258.0,50.0,34.0,242.0,54.0,81.0,,70.0,34.0,14.0,3.0,48.0,111.0,,58.0,2.0,,,,,,3.0,8.0,3.0,3.0,,107.0,,3.0,3.0,,,205.0,28.0,,119.0,,,14.0,,3.0,19.0,,,69.0,2.0,65.0,1.0,5.0,28.0,,6.0,53.0,4.0,,1.0,1.0,18.0,2.0,,,8.0,6.0,1.0,90.0,,2.0,9.0,,3.0,2.0,,,15.0,4.0,,,119.0,,,,44.0,,,,3.0,,,,17.0,2.0,,,,1.0,,8.0,2.0,13.0,23.0,6.0,,,,,4.0,,,,,,,,,23.0,4.0,,,,,1.0,,,,3.0,,,,,2.0,2.0,2.0,,,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,
AFR,7.0,105.0,105.0,59.0,32.0,5.0,56.0,45.0,2.0,82.0,45.0,16.0,3.0,7.0,6.0,12.0,14.0,1.0,,,1.0,34.0,,18.0,3.0,17.0,,93.0,3.0,4.0,1.0,,5.0,,,20.0,1.0,15.0,4.0,,14.0,2.0,17.0,2.0,,9.0,,7.0,7.0,19.0,2.0,1.0,4.0,,,12.0,,,,,,,,3.0,,,1.0,1.0,2.0,,,1.0,11.0,,1.0,,1.0,2.0,,,,,,,,,6.0,,5.0,,1.0,,,,,2.0,,1.0,1.0,,,1.0,,,2.0,,3.0,,,,3.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
AUS,82.0,266.0,251.0,94.0,58.0,14.0,86.0,98.0,26.0,182.0,127.0,42.0,25.0,1.0,20.0,41.0,26.0,3.0,,3.0,4.0,31.0,,36.0,32.0,50.0,1.0,120.0,28.0,4.0,1.0,,11.0,,6.0,64.0,17.0,48.0,,1.0,47.0,9.0,39.0,31.0,2.0,8.0,,42.0,3.0,19.0,,2.0,9.0,,1.0,7.0,,2.0,,,2.0,3.0,,2.0,,,2.0,3.0,1.0,,,,25.0,,,2.0,5.0,,8.0,,,,1.0,6.0,4.0,,7.0,,21.0,,6.0,,3.0,,,,,10.0,1.0,,5.0,,,1.0,1.0,,4.0,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,4.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
