,141,170,173,36,161,70,120,20,10,241,190,42,51,30,60,112,180,43,45,40,46,841,84,14,90,193,100,192,111,124,130,174,50,12,874,186,17,44,80,13,214,71,110,115,172,73,154,52,61,125,31,331,122,160,54,23,91,114,1712,15,72,150,166,18,1124,191,11,25,16,831,128,35,33,162,37,22,194,145,1053,1821,129,27,1721,138,195,62,181,1014,182,183,1832,203,311,26,164,1723,57,55,231,81,1313,140,53,213,143,234,171,175,32,83,144,332,353,134,842,1121,341,153,1312,873,75,833,1822,1241,1823,1711,1123,82,39,233,1411,56,185,41,834,1041,1231,87,871,811,139,131,1243,334,105,1056,243,163,142,151,28,1043,1724,356,74,1246,133,127,64,24,152,202,101,85,196,1383,1013,1042,1122,333,1384,1244,21,19,863,253,92,211,232,63,862,813,1044,1831,113,34,121,1311,86,861,312,126,1233,872,106,256,38
AUS,12.0,,44.0,88.0,,31.0,21.0,107.0,189.0,,59.0,186.0,94.0,60.0,30.0,23.0,10.0,169.0,,70.0,60.0,17.0,15.0,20.0,35.0,13.0,6.0,9.0,42.0,2.0,19.0,,12.0,34.0,15.0,,10.0,5.0,19.0,33.0,,21.0,21.0,,16.0,4.0,2.0,,17.0,1.0,,,1.0,,,,,1.0,9.0,14.0,1.0,1.0,,12.0,1.0,,4.0,2.0,8.0,1.0,9.0,1.0,4.0,,,,,,,4.0,,1.0,,,1.0,2.0,11.0,,1.0,,,,8.0,5.0,7.0,,8.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,3.0,,,,,,,,,,,,,,4.0,,5.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,7.0,,37.0,65.0,3.0,32.0,32.0,101.0,147.0,,68.0,193.0,110.0,23.0,24.0,20.0,7.0,182.0,2.0,89.0,56.0,9.0,18.0,11.0,26.0,26.0,14.0,4.0,12.0,2.0,3.0,,16.0,24.0,6.0,,9.0,,19.0,27.0,1.0,33.0,22.0,,21.0,10.0,,,28.0,,,1.0,,2.0,,1.0,2.0,1.0,1.0,3.0,,,,4.0,,4.0,4.0,4.0,1.0,1.0,2.0,,7.0,,,,,,,1.0,,,,,,2.0,1.0,,3.0,,,,3.0,10.0,,2.0,14.0,7.0,,3.0,,3.0,,,1.0,,,,,,,,2.0,,,,,,,,3.0,4.0,,,4.0,,,2.0,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
CHN,22.0,2.0,29.0,166.0,2.0,58.0,61.0,193.0,231.0,,55.0,368.0,160.0,157.0,40.0,35.0,6.0,346.0,,417.0,189.0,38.0,17.0,14.0,25.0,9.0,26.0,6.0,90.0,,35.0,8.0,101.0,67.0,10.0,,23.0,17.0,36.0,61.0,6.0,31.0,21.0,,30.0,9.0,6.0,,110.0,18.0,11.0,,4.0,5.0,,2.0,,12.0,11.0,8.0,1.0,,,12.0,,,1.0,5.0,12.0,2.0,4.0,1.0,9.0,,6.0,3.0,,5.0,,5.0,,1.0,9.0,5.0,1.0,,2.0,,,1.0,,,14.0,6.0,,,98.0,,,1.0,,,,,,8.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,,4.0,1.0,,,,,,2.0,,,,,3.0,,3.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
DEU,9.0,2.0,16.0,42.0,,9.0,26.0,62.0,106.0,,45.0,148.0,46.0,50.0,9.0,15.0,,137.0,,70.0,27.0,,6.0,11.0,19.0,8.0,11.0,19.0,21.0,,2.0,,11.0,27.0,3.0,,11.0,,8.0,29.0,,18.0,15.0,,7.0,44.0,,,9.0,2.0,,1.0,,1.0,,,3.0,2.0,2.0,,2.0,,,,3.0,1.0,2.0,3.0,,3.0,,,2.0,,,1.0,,,,,,,1.0,10.0,3.0,,,,1.0,,,,4.0,7.0,,,12.0,3.0,,,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,2.0,,,,,,,,,2.0,,6.0,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,
GIN,,,,1.0,,1.0,4.0,1.0,,,,5.0,,,2.0,1.0,,5.0,,2.0,4.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
SEA,,,1.0,62.0,,2.0,5.0,54.0,77.0,,3.0,132.0,50.0,53.0,5.0,3.0,,106.0,,265.0,122.0,2.0,,8.0,2.0,1.0,6.0,,10.0,,2.0,,59.0,17.0,,,7.0,3.0,,13.0,,5.0,1.0,,,2.0,,,3.0,8.0,,,,,,8.0,,,,2.0,,,,,,,,11.0,4.0,,,,,,,,2.0,,,,,3.0,,,,10.0,,,,,,,10.0,9.0,,,28.0,,,,,2.0,,,,2.0,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,21.0,,47.0,181.0,,8.0,20.0,117.0,153.0,,63.0,212.0,92.0,27.0,18.0,51.0,15.0,195.0,,165.0,75.0,13.0,13.0,9.0,48.0,14.0,17.0,2.0,31.0,,17.0,2.0,5.0,47.0,3.0,1.0,15.0,,10.0,21.0,2.0,9.0,30.0,1.0,31.0,7.0,6.0,,10.0,1.0,1.0,,,14.0,,,1.0,16.0,4.0,3.0,1.0,1.0,,,,2.0,4.0,2.0,2.0,,16.0,,1.0,,,2.0,,1.0,,7.0,,2.0,8.0,5.0,2.0,,1.0,31.0,11.0,,,,1.0,12.0,1.0,,15.0,,,1.0,,1.0,,,6.0,,2.0,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,3.0,,,,2.0,,,1.0,,,,,,,,2.0,,3.0,,,2.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,
ITA,3.0,,23.0,15.0,,14.0,16.0,21.0,48.0,,17.0,106.0,25.0,12.0,4.0,8.0,2.0,97.0,1.0,31.0,14.0,6.0,2.0,4.0,4.0,6.0,11.0,10.0,15.0,1.0,,1.0,2.0,1.0,2.0,2.0,4.0,3.0,9.0,15.0,,1.0,5.0,,15.0,67.0,,2.0,6.0,,,1.0,,5.0,,4.0,,1.0,,5.0,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,23.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
KIR,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,9.0,1.0,125.0,66.0,,8.0,30.0,169.0,268.0,,96.0,198.0,161.0,25.0,21.0,82.0,9.0,199.0,2.0,136.0,52.0,10.0,12.0,13.0,27.0,45.0,37.0,,77.0,,24.0,3.0,16.0,46.0,4.0,4.0,15.0,,8.0,28.0,5.0,14.0,50.0,,19.0,32.0,,,20.0,,23.0,,,32.0,2.0,,,11.0,15.0,4.0,2.0,,2.0,20.0,5.0,,,,13.0,,5.0,,4.0,2.0,,1.0,,,,5.0,,1.0,2.0,7.0,2.0,,37.0,16.0,4.0,,,,3.0,17.0,,,8.0,7.0,,5.0,,1.0,,,5.0,,2.0,1.0,5.0,,,,,,,1.0,,,,,1.0,,14.0,,2.0,,4.0,,,,,2.0,,4.0,,,,,,,,,,,,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
