,112,1821,13,51,1122,120,172,14,36,111,90,173,84,182,10,40,12,110,42,80,46,43,31,190,20,61,164,170,130,841,60,26,30,100,25,64,57,113,144,138,17,193,214,52,71,81,1123,128,141,180,1712,70,181,72,311,33,192,115,22,114,11,124,151,1721,171,50,1384,73,15,16,154,191,18,140,833,874,145,186,143,160,831,1014,231,122,161,174,85,163,1241,353,44,194,56,129,55,871,107,842,1043,131,23,91,125,150,1723,1722,134,37,53,331,45,153,1823,75,202,234,63,1121,162,1053,1243,35,1124,62,133,233,243,137,1312,195,28,41,32,241,175,139,332,1313,86,83,1031,21,27,166,1233,1724,203,1383,1711,39,87,213,873,256,1056,333,152,54,127,19,1822,82,101,1042,92,334,1041,356,74,1622,93,24,1244,105,211,1831,253,863,244,1034,1621,862,116,861,183,196,121,813,142,1013,344,1125,255,341,132,38,1044,1246
nan,2248.0,242.0,1748.0,5691.0,6.0,2107.0,878.0,953.0,4689.0,1675.0,2418.0,3525.0,1112.0,283.0,8912.0,6290.0,2127.0,1885.0,8121.0,1063.0,3323.0,7480.0,228.0,4189.0,6455.0,383.0,124.0,69.0,1056.0,608.0,1566.0,329.0,1620.0,1070.0,117.0,37.0,739.0,16.0,38.0,276.0,754.0,1635.0,155.0,109.0,1593.0,171.0,75.0,267.0,829.0,808.0,218.0,1136.0,200.0,261.0,128.0,228.0,575.0,90.0,150.0,667.0,309.0,82.0,21.0,103.0,95.0,880.0,21.0,487.0,538.0,378.0,186.0,141.0,356.0,143.0,63.0,428.0,102.0,148.0,75.0,471.0,168.0,103.0,132.0,27.0,107.0,154.0,15.0,106.0,53.0,105.0,52.0,166.0,35.0,67.0,105.0,60.0,6.0,38.0,49.0,13.0,144.0,52.0,174.0,168.0,50.0,4.0,12.0,47.0,44.0,93.0,140.0,46.0,52.0,81.0,9.0,49.0,28.0,27.0,34.0,33.0,18.0,86.0,76.0,144.0,47.0,30.0,3.0,6.0,8.0,119.0,14.0,161.0,71.0,23.0,195.0,22.0,46.0,1.0,7.0,18.0,3.0,13.0,25.0,20.0,10.0,4.0,40.0,11.0,60.0,15.0,11.0,7.0,20.0,9.0,5.0,9.0,40.0,16.0,22.0,9.0,48.0,8.0,19.0,1.0,1.0,8.0,3.0,28.0,13.0,1.0,10.0,3.0,1.0,5.0,10.0,17.0,22.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,26.0,7.0,1.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,,,,
USA,770.0,81.0,896.0,1658.0,2.0,486.0,270.0,300.0,1307.0,456.0,738.0,1395.0,371.0,98.0,2360.0,1805.0,522.0,541.0,2999.0,279.0,1144.0,2827.0,99.0,1210.0,1846.0,195.0,30.0,12.0,318.0,88.0,509.0,123.0,477.0,247.0,31.0,21.0,256.0,5.0,3.0,106.0,197.0,719.0,39.0,40.0,533.0,72.0,32.0,48.0,131.0,252.0,77.0,435.0,35.0,53.0,23.0,60.0,148.0,69.0,29.0,133.0,112.0,44.0,3.0,20.0,17.0,159.0,4.0,95.0,219.0,105.0,40.0,32.0,60.0,15.0,25.0,207.0,2.0,114.0,23.0,118.0,48.0,24.0,24.0,3.0,37.0,47.0,6.0,85.0,22.0,35.0,62.0,47.0,12.0,45.0,34.0,11.0,,5.0,,7.0,27.0,14.0,49.0,41.0,6.0,3.0,,8.0,7.0,19.0,41.0,,7.0,31.0,1.0,5.0,9.0,2.0,8.0,4.0,7.0,20.0,47.0,27.0,7.0,6.0,,4.0,14.0,17.0,3.0,17.0,27.0,7.0,5.0,1.0,7.0,,2.0,5.0,,5.0,11.0,1.0,,,,7.0,3.0,6.0,4.0,3.0,6.0,16.0,,,1.0,4.0,9.0,1.0,2.0,,2.0,,,,4.0,7.0,3.0,,,3.0,2.0,,,,11.0,1.0,1.0,,,1.0,,,,,,,3.0,,,,1.0,,4.0,1.0,,
RUS,81.0,,54.0,95.0,3.0,68.0,20.0,5.0,143.0,45.0,48.0,49.0,2.0,4.0,147.0,222.0,49.0,46.0,196.0,34.0,131.0,151.0,1.0,99.0,136.0,7.0,2.0,,25.0,7.0,13.0,30.0,73.0,20.0,,3.0,96.0,2.0,,,16.0,37.0,1.0,,10.0,,,7.0,32.0,5.0,6.0,11.0,4.0,12.0,1.0,7.0,14.0,1.0,4.0,2.0,2.0,2.0,,,,25.0,,1.0,9.0,8.0,1.0,,,,4.0,28.0,,3.0,,14.0,3.0,,,2.0,23.0,13.0,5.0,10.0,,,1.0,20.0,,3.0,,1.0,,,,1.0,,,3.0,21.0,1.0,3.0,1.0,,,,8.0,,,,,,2.0,2.0,2.0,,2.0,6.0,,6.0,1.0,,,,,10.0,,10.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,2.0,,,1.0,,,,,1.0,
CHN,154.0,,69.0,238.0,,51.0,56.0,21.0,216.0,103.0,58.0,207.0,116.0,12.0,264.0,304.0,130.0,129.0,441.0,36.0,167.0,409.0,6.0,117.0,240.0,174.0,21.0,8.0,95.0,101.0,55.0,9.0,86.0,82.0,18.0,,151.0,1.0,,49.0,26.0,20.0,6.0,2.0,29.0,4.0,,8.0,48.0,11.0,4.0,36.0,2.0,11.0,5.0,,16.0,1.0,4.0,7.0,4.0,,,8.0,,72.0,3.0,19.0,,9.0,5.0,,1.0,8.0,,13.0,5.0,6.0,2.0,33.0,1.0,,13.0,,11.0,18.0,,15.0,,2.0,6.0,2.0,,2.0,2.0,,,,8.0,,2.0,2.0,9.0,,,,,,,6.0,4.0,,,1.0,,,1.0,,,2.0,2.0,4.0,,27.0,4.0,,,,,,,,1.0,,9.0,1.0,3.0,,,,,,2.0,,,,,,1.0,,,,,2.0,5.0,,,12.0,6.0,,3.0,,1.0,,,1.0,,,,,,,,,2.0,,12.0,,2.0,,,,,,,,,,,,,,,,,1.0,,
IRN,73.0,,27.0,87.0,1.0,77.0,4.0,14.0,91.0,47.0,18.0,41.0,37.0,,125.0,143.0,35.0,41.0,119.0,27.0,187.0,99.0,,132.0,81.0,4.0,1.0,,69.0,27.0,14.0,17.0,41.0,22.0,6.0,,10.0,7.0,,23.0,6.0,23.0,,1.0,2.0,,7.0,11.0,5.0,6.0,,6.0,8.0,1.0,,,6.0,,,6.0,5.0,,,,,51.0,,4.0,44.0,8.0,1.0,,,,,50.0,,1.0,1.0,21.0,,,,,8.0,,8.0,55.0,,2.0,10.0,7.0,,,2.0,,,,6.0,,,,1.0,45.0,,,1.0,,,,2.0,,1.0,,,,,1.0,,,,2.0,17.0,2.0,,,,,2.0,29.0,,8.0,,,,,1.0,,,,,,,,3.0,,,5.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
ZWE,14.0,1.0,4.0,22.0,,9.0,1.0,4.0,17.0,1.0,1.0,36.0,2.0,,25.0,34.0,4.0,6.0,30.0,3.0,9.0,28.0,,7.0,16.0,,,1.0,,4.0,12.0,,4.0,1.0,2.0,,6.0,,,,1.0,2.0,,,3.0,2.0,,,9.0,2.0,1.0,,,,,1.0,,,,3.0,,,,1.0,,4.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,9.0,2.0,3.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
BRA,116.0,1.0,34.0,72.0,,17.0,11.0,11.0,40.0,114.0,31.0,3.0,2.0,,140.0,124.0,30.0,24.0,66.0,14.0,47.0,51.0,,89.0,129.0,11.0,,,22.0,1.0,15.0,8.0,45.0,11.0,,,18.0,1.0,,10.0,2.0,2.0,,,31.0,,,,85.0,2.0,2.0,6.0,3.0,46.0,9.0,6.0,,,9.0,2.0,2.0,,,,,1.0,,,3.0,,23.0,16.0,7.0,10.0,,6.0,5.0,,1.0,,,,1.0,,,1.0,,3.0,,,1.0,,,,,,,,,,1.0,,7.0,5.0,,2.0,,,,1.0,,,,,,4.0,1.0,,,,,,,8.0,,,,,1.0,10.0,,,,,,2.0,,2.0,1.0,,,,,,,3.0,,,,,,,,,,,4.0,,,2.0,2.0,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
JPN,12.0,,23.0,70.0,,22.0,14.0,4.0,234.0,27.0,13.0,20.0,10.0,,163.0,232.0,26.0,44.0,229.0,19.0,157.0,220.0,5.0,48.0,63.0,40.0,1.0,,25.0,5.0,12.0,1.0,39.0,6.0,,,56.0,,,10.0,11.0,10.0,,,13.0,3.0,,12.0,8.0,7.0,,14.0,1.0,,4.0,5.0,,,,12.0,,,,,1.0,49.0,,,8.0,5.0,1.0,,8.0,1.0,1.0,19.0,,,,8.0,,,,,10.0,,,5.0,,2.0,48.0,88.0,,,2.0,,,,5.0,,3.0,,2.0,4.0,,,,4.0,,,,,,,,,1.0,,,,,5.0,,,1.0,,,,,14.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
SAU,10.0,,8.0,37.0,,7.0,4.0,,29.0,13.0,15.0,14.0,4.0,,18.0,37.0,5.0,5.0,49.0,6.0,7.0,47.0,,42.0,38.0,9.0,,,15.0,,14.0,10.0,9.0,6.0,,2.0,14.0,,,2.0,2.0,4.0,,,11.0,,,,2.0,2.0,,18.0,,,1.0,2.0,,,2.0,4.0,,2.0,,,,7.0,,,,,,,1.0,,,2.0,,6.0,,6.0,,,,,,3.0,,3.0,,,,15.0,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,3.0,4.0,,,,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,25.0,,2.0,13.0,,6.0,,2.0,,7.0,,,3.0,,5.0,8.0,5.0,3.0,25.0,11.0,4.0,20.0,,58.0,7.0,,,,11.0,,2.0,2.0,,3.0,,2.0,,,1.0,4.0,,5.0,,,,,,,1.0,,,,,,,1.0,36.0,,,,,,,,,3.0,,,,2.0,,,,,,2.0,,,,2.0,,,,,2.0,1.0,,,,,,2.0,,,,16.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,19.0,,,,,,5.0,,4.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,15.0,2.0,14.0,60.0,,11.0,6.0,7.0,37.0,7.0,16.0,48.0,2.0,,92.0,103.0,18.0,11.0,113.0,9.0,55.0,106.0,,52.0,48.0,11.0,,,6.0,7.0,16.0,5.0,19.0,4.0,1.0,,13.0,,,1.0,21.0,18.0,,1.0,13.0,,,,,4.0,7.0,17.0,1.0,2.0,2.0,6.0,10.0,,1.0,4.0,,1.0,,3.0,9.0,5.0,,6.0,5.0,1.0,,,,,3.0,1.0,3.0,1.0,,1.0,4.0,,1.0,,,,,1.0,,,8.0,,,,4.0,,,1.0,,,,,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,2.0,,4.0,,,,2.0,,,3.0,,,,,,,2.0,,,5.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
