,57,1123,120,841,10,51,43,19,42,112,90,190,193,14,1821,46,128,80,20,12,13,50,75,191,100,16,192,172,1712,141,1043,17,203,153,173,60,70,73,84,36,1823,40,130,15,71,170,233,110,111,124,332,30,72,55,56,194,25,842,145,61,114,35,11,211,113,1014,129,174,180,195,1124,1233,214,1312,163,164,143,139,22,140,1041,32,166,31,62,18,138,175,181,311,81,33,160,142,125,182,115,874,86,356,131,162,26,52,1711,45,27,1822,231,186,331,241,243,150,154,127,833,23,831,1723,353,334,41,1721,122,21,144,101,1831,74,1121,171,83,64,1241,256,871,253,1243,39,34,152,873,161,24,133,54,1056,1383,183,37,1384,28,1044,234,232,134,151,185,53,91,813,1053,82,85,1244,44,244,333,1246,1122,87,63,202,1724,93,196,123,1042,92,1125,137,121,312,1722,1621,184,355,1411,213,1313,106,38,132,1031,1013
BGD,16.0,2.0,6.0,8.0,71.0,16.0,76.0,1.0,85.0,22.0,19.0,32.0,19.0,4.0,7.0,21.0,1.0,19.0,38.0,8.0,20.0,18.0,10.0,1.0,9.0,6.0,8.0,6.0,1.0,23.0,7.0,23.0,5.0,12.0,16.0,1.0,5.0,8.0,11.0,7.0,1.0,19.0,1.0,5.0,1.0,1.0,1.0,6.0,11.0,4.0,2.0,7.0,4.0,5.0,5.0,2.0,1.0,2.0,1.0,10.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,12.0,1.0,17.0,9.0,19.0,11.0,42.0,2.0,45.0,9.0,3.0,15.0,3.0,1.0,23.0,,,5.0,33.0,4.0,4.0,10.0,1.0,,3.0,7.0,5.0,1.0,,17.0,12.0,18.0,12.0,,5.0,,2.0,,,19.0,,4.0,,2.0,,6.0,2.0,3.0,12.0,4.0,,6.0,,2.0,2.0,,2.0,,,1.0,,2.0,,,,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,684.0,77.0,1723.0,434.0,8186.0,5021.0,6906.0,13.0,7454.0,1800.0,2100.0,3863.0,1568.0,853.0,169.0,2741.0,241.0,1183.0,5900.0,1859.0,1552.0,856.0,59.0,89.0,1061.0,408.0,521.0,768.0,208.0,747.0,76.0,771.0,30.0,73.0,2569.0,1373.0,1098.0,402.0,828.0,3537.0,35.0,5532.0,1103.0,424.0,1454.0,84.0,33.0,1627.0,1734.0,63.0,42.0,1425.0,249.0,113.0,31.0,146.0,88.0,37.0,123.0,431.0,705.0,67.0,302.0,4.0,21.0,54.0,74.0,143.0,648.0,248.0,109.0,7.0,122.0,9.0,105.0,67.0,59.0,35.0,127.0,127.0,17.0,70.0,26.0,234.0,203.0,263.0,291.0,163.0,167.0,125.0,170.0,199.0,478.0,19.0,154.0,188.0,75.0,350.0,9.0,19.0,22.0,34.0,289.0,84.0,85.0,105.0,34.0,81.0,117.0,129.0,70.0,14.0,13.0,136.0,169.0,16.0,73.0,192.0,164.0,48.0,81.0,6.0,159.0,71.0,30.0,8.0,24.0,24.0,8.0,19.0,28.0,34.0,26.0,32.0,37.0,17.0,38.0,4.0,14.0,12.0,4.0,50.0,17.0,73.0,9.0,60.0,11.0,15.0,10.0,51.0,48.0,16.0,18.0,8.0,34.0,2.0,21.0,18.0,1.0,43.0,23.0,4.0,16.0,14.0,14.0,3.0,63.0,2.0,26.0,11.0,5.0,7.0,16.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,11.0,1.0,1.0,2.0,2.0,2.0,,,,,,
CAN,12.0,,19.0,6.0,238.0,120.0,248.0,1.0,258.0,38.0,53.0,64.0,20.0,4.0,,218.0,2.0,37.0,159.0,42.0,25.0,87.0,11.0,,18.0,1.0,8.0,20.0,2.0,10.0,,5.0,,,49.0,17.0,16.0,3.0,8.0,132.0,,359.0,13.0,8.0,36.0,,,33.0,26.0,,,72.0,,6.0,,,7.0,2.0,,50.0,9.0,,5.0,,,,,,17.0,,,,,,4.0,5.0,,,,1.0,,1.0,,,60.0,5.0,16.0,,2.0,14.0,12.0,2.0,2.0,,1.0,7.0,1.0,15.0,,,,,1.0,,1.0,3.0,,,4.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,166.0,,67.0,22.0,374.0,279.0,770.0,,934.0,96.0,20.0,148.0,23.0,49.0,9.0,861.0,1.0,21.0,255.0,101.0,161.0,244.0,2.0,3.0,31.0,15.0,9.0,18.0,,60.0,2.0,30.0,,6.0,31.0,36.0,45.0,7.0,,493.0,1.0,1106.0,72.0,12.0,8.0,,,104.0,78.0,1.0,,166.0,9.0,,,,1.0,,1.0,17.0,60.0,10.0,34.0,,,,,2.0,6.0,,,,,,16.0,16.0,2.0,,1.0,32.0,,,,10.0,2.0,11.0,24.0,31.0,1.0,2.0,4.0,1.0,15.0,,63.0,,,38.0,4.0,,,1.0,50.0,6.0,,16.0,8.0,,,,1.0,,,,27.0,,1.0,,,,55.0,,6.0,5.0,,,,,,,,,2.0,1.0,2.0,,2.0,,,7.0,,5.0,,7.0,,1.0,,,,,5.0,,9.0,,2.0,,,,,,,,,,2.0,,16.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,
CHN,134.0,,39.0,34.0,233.0,185.0,273.0,,308.0,68.0,42.0,104.0,12.0,39.0,,186.0,2.0,58.0,259.0,67.0,64.0,66.0,2.0,2.0,43.0,7.0,9.0,39.0,3.0,27.0,7.0,14.0,1.0,2.0,77.0,66.0,34.0,5.0,39.0,118.0,,226.0,73.0,5.0,25.0,8.0,,92.0,133.0,1.0,2.0,64.0,5.0,2.0,,,13.0,,,184.0,10.0,2.0,8.0,,,,,18.0,2.0,,9.0,,4.0,,11.0,14.0,,1.0,,2.0,1.0,11.0,,17.0,14.0,26.0,34.0,,5.0,13.0,9.0,4.0,6.0,,3.0,10.0,4.0,26.0,,,,,13.0,1.0,2.0,,8.0,,5.0,5.0,9.0,,,11.0,2.0,,2.0,6.0,4.0,,,1.0,6.0,17.0,5.0,,,,,,,,,1.0,,3.0,,6.0,,3.0,,1.0,,4.0,,5.0,,,,,,,,1.0,1.0,,,,,,,,,,10.0,,12.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,
IRL,4.0,,23.0,1.0,56.0,64.0,70.0,,76.0,8.0,13.0,22.0,12.0,17.0,1.0,33.0,1.0,12.0,46.0,23.0,20.0,4.0,,,9.0,,1.0,17.0,1.0,7.0,,9.0,,,14.0,2.0,4.0,8.0,1.0,20.0,,44.0,19.0,,6.0,,,24.0,8.0,,,44.0,,1.0,,,,,,2.0,1.0,,2.0,,,,,,3.0,,,,2.0,,,,,,,1.0,,7.0,,1.0,,6.0,,,,,,,,,,,,1.0,,,,,4.0,,,9.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
LTU,,,5.0,,1.0,13.0,1.0,,1.0,,4.0,,3.0,,,5.0,,4.0,8.0,2.0,1.0,,,,,,,,,3.0,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,51.0,,31.0,5.0,111.0,55.0,102.0,,117.0,31.0,11.0,13.0,6.0,18.0,,107.0,,22.0,94.0,57.0,16.0,16.0,2.0,2.0,16.0,1.0,4.0,5.0,2.0,6.0,,6.0,,,8.0,5.0,3.0,2.0,4.0,181.0,,134.0,48.0,,14.0,,1.0,35.0,19.0,,,64.0,1.0,,,,,,,20.0,,1.0,,,,,,3.0,1.0,,,,,,9.0,4.0,,,,4.0,,7.0,,3.0,,2.0,8.0,,,6.0,,,4.0,,4.0,1.0,,30.0,,2.0,2.0,3.0,1.0,2.0,,,6.0,,,3.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
