,172,84,42,14,173,193,43,10,57,81,130,214,71,51,40,1721,190,46,874,111,124,36,20,112,180,45,60,100,114,30,73,141,128,23,841,12,80,50,17,90,110,1124,192,120,15,145,233,1712,16,13,160,70,231,41,1821,64,353,175,33,181,11,153,122,26,831,1043,151,25,27,171,18,186,144,234,143,83,194,195,833,131,142,241,140,19,163,138,31,1243,1383,139,203,75,1053,22,54,1823,311,1123,52,134,191,152,1711,182,161,55,150,1831,72,61,1044,125,162,213,174,1384,842,356,44,133,332,63,105,331,253,28,1246,154,37,164,127,1056,82,113,211,115,56,1723,129,333,170,1014,35,1121,1822,91,32,74,62,1233,183,1312,1041,1241,1411,166,813,123,871,202,334,811,1244,87,312,53,1013,1122,39,1621,1722,102,256,21,1724,85,106,34,862,101,86,94,121,834,38,24,861,872,1311,873,1313,1125,254,232,196,137
EUR,5.0,2.0,86.0,4.0,4.0,2.0,84.0,70.0,18.0,,30.0,,20.0,86.0,77.0,,26.0,39.0,5.0,26.0,,58.0,74.0,19.0,4.0,1.0,15.0,18.0,11.0,11.0,3.0,,,,2.0,30.0,9.0,19.0,16.0,7.0,6.0,,4.0,17.0,1.0,,,,4.0,26.0,4.0,7.0,2.0,,6.0,,,,1.0,2.0,,,,7.0,,,,6.0,,,1.0,,,,2.0,,1.0,1.0,1.0,,,,4.0,,5.0,5.0,,,,1.0,,2.0,,1.0,,,,,2.0,,,,,,,,,,,25.0,,,,,6.0,1.0,,2.0,1.0,,,,,,,,2.0,5.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,6.0,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
TWN,,,19.0,2.0,2.0,1.0,17.0,22.0,6.0,,7.0,,4.0,15.0,2.0,,,13.0,,2.0,3.0,9.0,13.0,3.0,,,10.0,4.0,,2.0,,2.0,,4.0,1.0,2.0,,1.0,10.0,,1.0,,,7.0,7.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,4.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,6.0,2.0,83.0,20.0,41.0,12.0,82.0,100.0,11.0,1.0,10.0,1.0,4.0,54.0,41.0,,129.0,15.0,,13.0,2.0,15.0,80.0,12.0,5.0,2.0,7.0,15.0,5.0,5.0,2.0,2.0,,,,5.0,10.0,19.0,7.0,18.0,23.0,,3.0,9.0,1.0,2.0,,,1.0,28.0,3.0,10.0,1.0,,,7.0,,,3.0,,,,,2.0,,2.0,,1.0,,,,1.0,,,,,,,,4.0,,,1.0,,1.0,,,,,2.0,,,,,1.0,,1.0,2.0,,,,,1.0,,2.0,4.0,2.0,,1.0,2.0,,,,,,,,,,,,,,3.0,,,,3.0,,3.0,,,,,,2.0,,,11.0,,,1.0,,,,,,,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,8.0,,,,,,3.0,,,,,,,,,,,,,,,
IDN,,,66.0,39.0,17.0,2.0,61.0,37.0,15.0,,2.0,,1.0,45.0,48.0,,6.0,17.0,,8.0,,13.0,34.0,15.0,2.0,,13.0,5.0,1.0,8.0,5.0,5.0,,1.0,,6.0,,2.0,,14.0,10.0,,2.0,2.0,,,,,,5.0,3.0,9.0,,,,,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,1.0,,52.0,19.0,18.0,,51.0,31.0,19.0,,7.0,,14.0,63.0,28.0,,24.0,9.0,1.0,13.0,,10.0,72.0,19.0,1.0,,3.0,12.0,6.0,19.0,3.0,5.0,1.0,1.0,1.0,15.0,1.0,6.0,,28.0,20.0,,,13.0,2.0,,,,,13.0,,6.0,2.0,,,,,,,1.0,1.0,,,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,4.0,12.0,54.0,10.0,52.0,44.0,45.0,38.0,,,,,3.0,51.0,40.0,,23.0,22.0,,6.0,,23.0,30.0,5.0,,,8.0,4.0,,7.0,,1.0,,,2.0,5.0,7.0,5.0,2.0,10.0,14.0,,,23.0,10.0,,,4.0,,4.0,3.0,12.0,,,,,5.0,,4.0,,,,,9.0,,8.0,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,3.0,,9.0,,,,,,7.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,
JOR,,1.0,42.0,2.0,14.0,4.0,39.0,26.0,62.0,,1.0,,8.0,34.0,68.0,,6.0,49.0,,4.0,,22.0,37.0,5.0,,,13.0,2.0,,74.0,,,,,4.0,8.0,6.0,50.0,5.0,1.0,7.0,,,9.0,2.0,,,,1.0,10.0,,7.0,,,,,,,,,,,,,2.0,,,,,,4.0,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,2.0,,,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,7.0,4.0,89.0,5.0,20.0,9.0,90.0,45.0,16.0,,2.0,,6.0,68.0,100.0,,17.0,39.0,7.0,29.0,,40.0,31.0,14.0,1.0,,9.0,2.0,1.0,6.0,3.0,,,,11.0,17.0,7.0,34.0,22.0,6.0,7.0,,6.0,16.0,3.0,,,,,25.0,4.0,12.0,,,1.0,,,,1.0,3.0,1.0,,,1.0,,,,,,,3.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,3.0,1.0,,,,6.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,9.0,4.0,48.0,1.0,5.0,4.0,47.0,44.0,4.0,,5.0,,3.0,29.0,29.0,,19.0,23.0,1.0,9.0,,10.0,42.0,21.0,3.0,,11.0,18.0,4.0,5.0,5.0,2.0,,,1.0,3.0,1.0,7.0,1.0,11.0,2.0,,,16.0,,,,,2.0,11.0,3.0,7.0,,,1.0,,,,2.0,18.0,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,1.0,3.0,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,6.0,6.0,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
AFG,4.0,7.0,84.0,2.0,28.0,16.0,80.0,75.0,8.0,,4.0,,3.0,59.0,118.0,2.0,150.0,78.0,10.0,78.0,,42.0,25.0,25.0,18.0,2.0,25.0,9.0,5.0,10.0,,15.0,,,6.0,15.0,9.0,30.0,1.0,18.0,28.0,1.0,1.0,58.0,15.0,9.0,,3.0,,25.0,17.0,12.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,14.0,7.0,,,,,,,1.0,34.0,,,,,,,,1.0,,,1.0,7.0,,1.0,,,,23.0,1.0,,,,7.0,11.0,,25.0,,,,,,6.0,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,3.0,,,2.0,9.0,6.0,,,,,,2.0,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,7.0,4.0,,,,,,,,,,,,,
