,13,173,20,43,190,17,40,42,16,12,1721,30,192,36,100,10,311,61,141,874,130,151,110,194,46,50,160,841,211,63,57,51,90,18,62,170,73,120,54,111,129,172,45,52,161,31,71,133,163,84,70,60,112,81,35,331,138,1821,25,80,11,1822,186,150,72,26,114,1014,14,193,44,128,154,181,234,174,139,1712,32,175,1411,75,182,256,214,1312,143,145,1044,180,842,23,15,332,164,831,1243,1123,1121,333,873,124,125,131,191,140,1241,115,101,94,202,1823,21,27,353,56,171,834,231,41,33,55,1043,1124,233,142,871,64,1122,166,813,86,1053,1711,152,22,153,53,91,83,833,134,232,1233,356,195,19,85,253,24,162,123,241,74,127,1056,37,1246,1013,113,28,82,1832,1722,312,92,144,203,1723,121,1384,1831,38,1724,183,122,34,196,1031,334,106,1041,213,1412,87,255,201,863,1311,1383,862,93,1661
AUS,41.0,50.0,87.0,153.0,146.0,3.0,88.0,171.0,2.0,21.0,,20.0,2.0,65.0,18.0,174.0,,12.0,1.0,9.0,29.0,,17.0,4.0,46.0,4.0,3.0,4.0,,,8.0,76.0,28.0,3.0,,,28.0,9.0,,29.0,,7.0,1.0,,2.0,2.0,18.0,,,7.0,22.0,18.0,26.0,9.0,,,5.0,6.0,,26.0,2.0,8.0,4.0,,3.0,2.0,10.0,,8.0,20.0,16.0,6.0,2.0,1.0,1.0,5.0,,17.0,,,,,2.0,,2.0,,,,,8.0,,,4.0,,,6.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,8.0,3.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
BHS,2.0,1.0,5.0,9.0,3.0,6.0,19.0,10.0,,,,1.0,,3.0,,2.0,,2.0,,1.0,,,1.0,,2.0,,,,,,,5.0,,,,,1.0,,,,,,,,,,2.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,23.0,52.0,98.0,160.0,74.0,4.0,56.0,165.0,4.0,19.0,1.0,27.0,5.0,74.0,18.0,119.0,4.0,20.0,2.0,6.0,25.0,,22.0,,25.0,12.0,6.0,8.0,,,3.0,101.0,40.0,3.0,,,5.0,40.0,,29.0,2.0,13.0,1.0,5.0,,5.0,22.0,,,19.0,31.0,24.0,32.0,8.0,2.0,1.0,,1.0,,54.0,8.0,,,,3.0,,3.0,1.0,12.0,32.0,11.0,6.0,,1.0,,,1.0,1.0,,,,2.0,6.0,,1.0,,3.0,,,18.0,,4.0,2.0,,4.0,25.0,2.0,,2.0,,,2.0,2.0,,,,,,,,,,,,1.0,,5.0,,2.0,,7.0,3.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
CUB,,7.0,,24.0,5.0,,17.0,29.0,,,,,,8.0,,6.0,,,,,1.0,,2.0,,,5.0,,,,,,7.0,,,,,,4.0,,1.0,,3.0,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,11.0,11.0,28.0,82.0,23.0,4.0,60.0,92.0,1.0,20.0,,2.0,9.0,31.0,3.0,53.0,,5.0,15.0,3.0,3.0,,15.0,3.0,37.0,6.0,4.0,,,,32.0,44.0,12.0,,6.0,2.0,9.0,15.0,,25.0,,11.0,,2.0,,,9.0,,2.0,6.0,13.0,12.0,19.0,,,,9.0,,,25.0,,,2.0,,,1.0,6.0,,10.0,2.0,1.0,,1.0,,,2.0,,1.0,,,,,2.0,1.0,1.0,,,2.0,,4.0,,1.0,1.0,,1.0,5.0,,1.0,,,,,1.0,,,,,,,,,,,,,5.0,2.0,,,,1.0,5.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
DJI,1.0,,,3.0,,,,3.0,,,,,,5.0,2.0,4.0,,2.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,2.0,3.0,7.0,8.0,,8.0,16.0,7.0,,,,4.0,1.0,,1.0,7.0,,,10.0,,1.0,,5.0,,20.0,2.0,3.0,3.0,,,,5.0,,,4.0,,,5.0,,,,,,,1.0,,1.0,,,,,7.0,5.0,,,,,,,,,,,,3.0,6.0,6.0,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,17.0,12.0,49.0,60.0,12.0,1.0,59.0,60.0,,24.0,,27.0,3.0,26.0,7.0,28.0,1.0,22.0,8.0,1.0,14.0,,1.0,,55.0,8.0,3.0,6.0,,,8.0,24.0,3.0,17.0,,,9.0,17.0,1.0,25.0,,7.0,4.0,,9.0,,18.0,2.0,11.0,1.0,4.0,2.0,6.0,,,,,,,13.0,,,2.0,5.0,,1.0,4.0,,3.0,5.0,15.0,2.0,,,,4.0,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,22.0,29.0,53.0,71.0,54.0,8.0,35.0,82.0,,46.0,,10.0,,57.0,,56.0,,19.0,28.0,9.0,5.0,,28.0,,65.0,55.0,2.0,5.0,,,31.0,51.0,7.0,,2.0,1.0,2.0,6.0,,24.0,,7.0,7.0,2.0,6.0,,2.0,1.0,,2.0,4.0,4.0,14.0,3.0,1.0,,3.0,,2.0,16.0,1.0,3.0,,,5.0,,4.0,,2.0,14.0,,1.0,,,,1.0,,,1.0,10.0,,,7.0,,,,4.0,12.0,,,,1.0,1.0,,,,,,,3.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,2.0,,1.0,,14.0,1.0,,3.0,,,,6.0,,,1.0,,,,,,,,,9.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
HUN,2.0,2.0,3.0,5.0,1.0,,,4.0,,,,,2.0,1.0,2.0,4.0,,2.0,,,,,,,,2.0,,,,3.0,2.0,,,,2.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
