,873,15,46,130,61,83,1122,1822,20,190,161,1124,42,43,111,51,141,40,173,180,36,90,100,163,110,26,70,71,10,17,31,84,112,194,57,22,164,14,16,120,13,193,874,81,50,30,114,60,41,841,128,144,12,80,181,192,62,172,56,11,37,52,171,73,75,214,33,35,332,1723,231,160,842,831,871,1711,195,1831,834,131,1123,115,25,182,18,23,72,241,64,1043,129,145,154,1121,138,143,833,1821,55,124,311,151,125,1712,234,174,186,166,356,45,1241,139,353,140,19,170,191,53,85,121,93,28,331,44,27,106,1014,213,1243,113,183,1621,1312,134,1384,91,150,32,211,233,203,1721,256,142,1053,162,1724,153,133,1044,1722,1823,253,21,333,152,185,101,122,39,1246,232,127,1383,202,1031,54,175,86,105,243,1041,82,63,1056,862,1832,1233,1411,34,87,196,74,1054,312,1623,242,334,344,116,201,251,92,102,1311,872,24,1313
AUS,,10.0,38.0,26.0,19.0,,,,92.0,70.0,,2.0,145.0,146.0,14.0,101.0,14.0,69.0,59.0,10.0,84.0,46.0,10.0,,25.0,1.0,16.0,19.0,175.0,13.0,4.0,10.0,29.0,,16.0,,,28.0,1.0,24.0,35.0,21.0,6.0,2.0,26.0,17.0,4.0,42.0,,24.0,,,43.0,13.0,,8.0,,19.0,,,,3.0,1.0,3.0,3.0,5.0,,,1.0,,2.0,9.0,,,,,,,,,,,,3.0,,,1.0,2.0,,,,,,4.0,,,,8.0,,,2.0,,8.0,1.0,,,,1.0,,3.0,,,2.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,24.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,7.0,24.0,17.0,4.0,,,,53.0,45.0,,1.0,95.0,93.0,5.0,77.0,4.0,49.0,32.0,4.0,51.0,21.0,4.0,,13.0,1.0,7.0,14.0,98.0,22.0,,8.0,9.0,,4.0,3.0,,5.0,4.0,11.0,20.0,15.0,2.0,,10.0,10.0,6.0,20.0,,12.0,3.0,,18.0,12.0,,4.0,3.0,12.0,,,,,,,,,7.0,2.0,,2.0,3.0,4.0,,4.0,,7.0,,,,,,,,,2.0,8.0,,,,,,,2.0,,5.0,1.0,1.0,1.0,,,,,4.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,,2.0,6.0,2.0,16.0,,,,22.0,7.0,,,97.0,86.0,10.0,41.0,,55.0,23.0,5.0,29.0,10.0,14.0,,10.0,12.0,8.0,27.0,61.0,3.0,1.0,,8.0,,20.0,,,11.0,7.0,5.0,11.0,,1.0,2.0,10.0,14.0,1.0,3.0,,3.0,,,7.0,6.0,,1.0,,8.0,,3.0,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,6.0,,1.0,,,,,1.0,,1.0,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,,1.0,2.0,,,,,,1.0,2.0,,,4.0,4.0,,2.0,,4.0,8.0,6.0,1.0,10.0,,,1.0,,,1.0,5.0,2.0,,6.0,6.0,,,,,3.0,,1.0,2.0,6.0,,,,,,1.0,,,,,4.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,2.0,4.0,,,,,,9.0,8.0,,,17.0,18.0,,12.0,,8.0,2.0,,4.0,5.0,3.0,,3.0,,,,9.0,,,3.0,,,2.0,,,,,,2.0,3.0,,,,3.0,1.0,10.0,,1.0,,,1.0,4.0,,,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,,,63.0,12.0,23.0,,,1.0,119.0,112.0,3.0,10.0,85.0,79.0,50.0,78.0,29.0,72.0,38.0,13.0,38.0,7.0,16.0,16.0,47.0,4.0,3.0,18.0,111.0,17.0,2.0,3.0,34.0,35.0,7.0,5.0,,6.0,4.0,38.0,18.0,29.0,4.0,,34.0,21.0,16.0,13.0,2.0,14.0,,,14.0,17.0,,19.0,3.0,28.0,,5.0,,,,,5.0,,2.0,,2.0,,,2.0,,2.0,5.0,,5.0,,,,13.0,2.0,5.0,19.0,1.0,,2.0,,,7.0,,1.0,,2.0,9.0,,3.0,,2.0,,4.0,,2.0,13.0,,3.0,,,5.0,5.0,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,13.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,7.0,3.0,,,,,,2.0,,,,3.0,,,1.0,,,3.0,,,,,,,,,,,,4.0,,
PSE,,,35.0,2.0,2.0,,,1.0,38.0,81.0,,9.0,60.0,54.0,23.0,42.0,15.0,54.0,13.0,8.0,18.0,2.0,12.0,10.0,11.0,3.0,,22.0,45.0,11.0,,2.0,13.0,19.0,6.0,2.0,,1.0,,14.0,9.0,22.0,,,7.0,11.0,5.0,3.0,6.0,10.0,,,9.0,9.0,,11.0,,2.0,,2.0,,,,1.0,3.0,,6.0,4.0,,,,,,,7.0,,3.0,,,,5.0,,1.0,14.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,11.0,,1.0,,,2.0,2.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,1.0,,,3.0,,,,,,,,,,3.0,,,1.0,,,2.0,,,,,,,,,,,,2.0,,
KEN,,,11.0,13.0,4.0,,,1.0,44.0,12.0,,,74.0,75.0,3.0,14.0,7.0,9.0,15.0,,19.0,5.0,13.0,1.0,13.0,,3.0,8.0,46.0,,,5.0,22.0,,2.0,,,8.0,2.0,8.0,15.0,5.0,,,3.0,15.0,3.0,6.0,,9.0,,,10.0,5.0,2.0,2.0,,25.0,2.0,,,,,2.0,4.0,2.0,,,,,,9.0,,,,,,,,,,,2.0,,,4.0,2.0,,,2.0,,,,,3.0,,1.0,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,2.0,,1.0,,,,,5.0,3.0,,1.0,16.0,15.0,,8.0,,2.0,12.0,,4.0,1.0,,,3.0,,4.0,1.0,6.0,1.0,,,,,,,,,,1.0,4.0,,,2.0,4.0,1.0,3.0,1.0,,,,,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,2.0,,2.0,,,,2.0,9.0,,,9.0,8.0,,3.0,,31.0,3.0,,2.0,2.0,,,5.0,,,,10.0,,,,2.0,,3.0,,,,,1.0,6.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
