,52,193,111,43,42,1722,14,40,41,46,51,36,20,13,100,112,140,173,190,60,30,50,57,841,37,130,141,63,17,61,80,84,1124,180,1821,10,183,194,11,128,831,90,138,71,114,33,120,45,110,15,1822,72,12,154,175,1123,214,26,70,73,81,172,160,170,16,44,813,1014,31,182,192,186,174,115,874,1122,55,145,161,162,125,1831,18,25,124,129,1383,153,122,1246,332,53,56,253,23,144,191,171,142,150,1723,164,873,163,27,231,133,143,1712,195,131,34,234,22,181,331,1041,871,1044,54,75,233,211,311,356,1043,1721,82,35,19,92,64,62,166,833,1233,1711,353,1121,139,32,83,241,203,152,1312,113,21,39,196,1054,213,85,1823,1384,872,101,28,1053,1042,86,1056,127,87,334,256,134,202,151,1031,1241,91,1724,1243,74,333,842,1013,1832,862,243,38,811,185,106,1313,123,1125,232,1411,121,107,132,24,201,105,254
nan,110.0,1843.0,2261.0,6848.0,7343.0,13.0,849.0,4797.0,135.0,2807.0,5150.0,3690.0,6230.0,1689.0,1257.0,1776.0,88.0,3052.0,4172.0,1286.0,1258.0,713.0,706.0,493.0,24.0,1135.0,938.0,14.0,606.0,313.0,1105.0,898.0,96.0,754.0,260.0,8275.0,55.0,163.0,276.0,222.0,210.0,2244.0,246.0,1264.0,553.0,261.0,1963.0,102.0,1706.0,481.0,62.0,207.0,2003.0,117.0,181.0,102.0,100.0,355.0,914.0,524.0,197.0,956.0,438.0,125.0,278.0,56.0,12.0,88.0,210.0,222.0,453.0,82.0,130.0,74.0,317.0,5.0,94.0,118.0,86.0,36.0,155.0,92.0,318.0,132.0,56.0,68.0,10.0,47.0,17.0,4.0,33.0,28.0,32.0,12.0,143.0,14.0,64.0,75.0,12.0,87.0,51.0,62.0,13.0,100.0,23.0,93.0,40.0,56.0,143.0,174.0,27.0,4.0,40.0,128.0,200.0,47.0,15.0,45.0,13.0,21.0,65.0,57.0,15.0,112.0,35.0,37.0,66.0,16.0,61.0,28.0,3.0,22.0,129.0,26.0,70.0,18.0,67.0,69.0,24.0,29.0,71.0,32.0,38.0,54.0,26.0,18.0,12.0,37.0,21.0,17.0,1.0,11.0,24.0,40.0,18.0,4.0,18.0,9.0,28.0,4.0,8.0,6.0,10.0,10.0,10.0,15.0,28.0,16.0,28.0,5.0,13.0,23.0,4.0,17.0,4.0,6.0,26.0,10.0,24.0,3.0,3.0,1.0,2.0,7.0,5.0,4.0,3.0,4.0,6.0,4.0,4.0,,,,,,
USA,62.0,724.0,438.0,2327.0,2415.0,,209.0,1387.0,29.0,776.0,1409.0,1015.0,1648.0,711.0,303.0,514.0,23.0,990.0,917.0,369.0,312.0,158.0,223.0,109.0,3.0,234.0,194.0,3.0,151.0,101.0,261.0,293.0,17.0,178.0,83.0,1945.0,8.0,19.0,57.0,37.0,15.0,599.0,53.0,337.0,89.0,45.0,488.0,32.0,436.0,134.0,6.0,39.0,388.0,15.0,26.0,24.0,33.0,77.0,292.0,115.0,63.0,292.0,118.0,19.0,65.0,27.0,,15.0,30.0,58.0,121.0,34.0,41.0,32.0,111.0,2.0,25.0,11.0,32.0,8.0,31.0,1.0,38.0,22.0,37.0,20.0,3.0,4.0,4.0,,5.0,15.0,3.0,5.0,36.0,3.0,15.0,14.0,4.0,15.0,9.0,18.0,1.0,36.0,1.0,55.0,14.0,7.0,24.0,17.0,11.0,,,32.0,30.0,12.0,4.0,7.0,,11.0,34.0,15.0,1.0,17.0,19.0,4.0,7.0,2.0,4.0,,,2.0,25.0,5.0,36.0,8.0,10.0,11.0,4.0,,9.0,12.0,13.0,20.0,8.0,4.0,9.0,21.0,4.0,,,,10.0,8.0,1.0,,9.0,1.0,6.0,4.0,2.0,,6.0,1.0,1.0,14.0,18.0,5.0,1.0,1.0,11.0,7.0,,8.0,,1.0,3.0,,1.0,,1.0,,2.0,4.0,,,,3.0,,,4.0,,,,,,
FRA,1.0,45.0,31.0,129.0,141.0,,4.0,141.0,6.0,107.0,70.0,230.0,49.0,45.0,12.0,51.0,3.0,32.0,61.0,12.0,97.0,13.0,35.0,11.0,,16.0,13.0,1.0,5.0,10.0,18.0,5.0,,6.0,,114.0,,,2.0,3.0,,22.0,,10.0,7.0,8.0,37.0,5.0,23.0,,,,14.0,1.0,,,,2.0,3.0,4.0,,13.0,1.0,,,16.0,,6.0,,1.0,5.0,2.0,1.0,,8.0,,,,6.0,,5.0,,1.0,,,,,,1.0,,,,,5.0,,,,,,2.0,,3.0,,,,1.0,,,,,,,,1.0,1.0,,,7.0,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,
GBR,1.0,39.0,122.0,521.0,559.0,,56.0,323.0,8.0,235.0,243.0,441.0,302.0,96.0,91.0,118.0,11.0,252.0,209.0,60.0,139.0,28.0,63.0,67.0,,108.0,63.0,,64.0,30.0,79.0,98.0,3.0,31.0,4.0,414.0,1.0,,23.0,31.0,7.0,99.0,5.0,62.0,15.0,4.0,253.0,8.0,155.0,32.0,6.0,4.0,367.0,7.0,,,2.0,6.0,51.0,16.0,7.0,43.0,48.0,39.0,22.0,15.0,,,5.0,23.0,38.0,6.0,5.0,1.0,15.0,,4.0,,3.0,,5.0,,4.0,14.0,6.0,,,,3.0,,1.0,,,3.0,6.0,,,2.0,6.0,1.0,2.0,5.0,,22.0,1.0,1.0,,3.0,6.0,6.0,3.0,,2.0,13.0,3.0,,1.0,,,6.0,4.0,,,1.0,5.0,1.0,,,10.0,6.0,,,6.0,,2.0,,9.0,21.0,,4.0,5.0,,,2.0,,,,,1.0,,,,,23.0,1.0,,,,13.0,,2.0,2.0,,,4.0,3.0,,,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,,,,6.0,1.0,,,,
ISR,7.0,25.0,102.0,256.0,264.0,,22.0,158.0,2.0,80.0,172.0,194.0,162.0,65.0,42.0,70.0,4.0,43.0,218.0,26.0,48.0,21.0,25.0,10.0,,64.0,19.0,3.0,5.0,23.0,108.0,16.0,3.0,6.0,1.0,174.0,1.0,76.0,9.0,3.0,5.0,32.0,10.0,19.0,5.0,,82.0,4.0,64.0,2.0,,8.0,36.0,1.0,6.0,10.0,1.0,5.0,14.0,11.0,5.0,176.0,29.0,5.0,12.0,8.0,,,,17.0,25.0,,15.0,,4.0,,,4.0,16.0,3.0,1.0,1.0,2.0,8.0,4.0,,,,,,,,,,,,6.0,1.0,,,,5.0,,32.0,,,,,13.0,47.0,,,,6.0,18.0,,,,,4.0,5.0,15.0,,,1.0,1.0,,,13.0,2.0,,,3.0,,,,2.0,1.0,,,1.0,,,,2.0,8.0,7.0,,,,,,,,,2.0,,,,,4.0,,1.0,,,3.0,2.0,5.0,,,,,,,2.0,,,3.0,,3.0,,,,1.0,,,,,,,,,,4.0,1.0,,
IRN,,12.0,59.0,151.0,177.0,2.0,11.0,218.0,,192.0,62.0,72.0,94.0,47.0,86.0,59.0,,80.0,27.0,7.0,72.0,85.0,38.0,34.0,,48.0,4.0,,1.0,31.0,28.0,93.0,9.0,1.0,,115.0,,4.0,3.0,12.0,,16.0,15.0,6.0,,,169.0,15.0,24.0,22.0,3.0,2.0,19.0,3.0,,3.0,,15.0,11.0,1.0,,5.0,10.0,,26.0,,,,3.0,,8.0,,,,12.0,,,,15.0,,,,30.0,3.0,3.0,1.0,3.0,,1.0,,6.0,5.0,,13.0,,,,3.0,4.0,,,1.0,,33.0,,,,,1.0,1.0,2.0,,,6.0,6.0,,,,2.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,15.0,3.0,,,,,,2.0,5.0,2.0,,,,,,7.0,,,,,,7.0,,6.0,3.0,,,,,1.0,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,5.0,,,,,,,,,
AFG,2.0,2.0,159.0,93.0,98.0,,8.0,98.0,,140.0,75.0,40.0,44.0,31.0,12.0,54.0,,24.0,275.0,15.0,30.0,64.0,22.0,5.0,,12.0,,,35.0,5.0,16.0,5.0,26.0,3.0,,109.0,31.0,75.0,1.0,2.0,,27.0,,3.0,7.0,,72.0,1.0,17.0,54.0,,11.0,44.0,,,9.0,,3.0,5.0,1.0,6.0,2.0,24.0,1.0,18.0,6.0,,2.0,,16.0,14.0,2.0,1.0,,37.0,,,,,,3.0,53.0,27.0,1.0,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,3.0,,21.0,,,,,,,,10.0,,,,4.0,,,8.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
AUS,2.0,53.0,36.0,210.0,234.0,,7.0,63.0,2.0,11.0,106.0,106.0,145.0,43.0,22.0,26.0,,58.0,117.0,32.0,21.0,22.0,8.0,8.0,,29.0,32.0,,8.0,41.0,10.0,13.0,,10.0,4.0,182.0,,,7.0,3.0,2.0,51.0,3.0,16.0,7.0,4.0,25.0,,9.0,9.0,,3.0,67.0,,2.0,3.0,2.0,7.0,21.0,3.0,4.0,18.0,4.0,,8.0,,,,8.0,3.0,6.0,,,,12.0,,1.0,2.0,,,2.0,,1.0,1.0,11.0,,,,,,3.0,2.0,,,,1.0,,1.0,,2.0,,,,,1.0,,6.0,,6.0,,,,7.0,12.0,,,,,,,,4.0,2.0,2.0,,,1.0,,,,,,6.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
BTN,,,,87.0,105.0,,4.0,51.0,,16.0,55.0,90.0,28.0,4.0,14.0,,,1.0,4.0,5.0,24.0,8.0,12.0,,,,,,14.0,,2.0,1.0,,,,80.0,,,,,,3.0,,3.0,,3.0,,,,,,,4.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
