EventCode,NumMentions,NumSources,NumArticles
36,2,2,2
40,6,2,6
173,2,1,2
173,130,65,130
173,2,1,2
40,35,5,35
40,787,51,787
173,109,102,109
173,105,100,105
173,218,102,218
173,210,100,210
112,56,11,56
112,128,65,128
112,65,64,65
173,128,64,128
173,65,65,65
112,48,10,48
173,8,1,8
20,15,4,15
51,15,4,15
12,10,1,10
20,23,4,23
10,10,1,10
71,36,6,36
40,1,1,1
43,9,1,9
40,1,1,1
42,3,1,3
42,6,1,6
190,522,102,522
190,12,2,12
190,356,104,356
193,522,102,522
193,12,2,12
193,356,104,356
36,3,1,3
40,2,1,2
173,204,99,204
173,15,3,15
193,4,2,4
51,23,4,23
112,2,2,2
112,9,4,9
71,24,6,24
190,522,102,522
190,12,2,12
190,4,2,4
190,352,104,352
173,4,1,4
40,1,1,1
40,23,3,23
40,42,11,42
40,24,8,24
40,15,3,15
190,10,1,10
190,15,1,15
193,3,1,3
193,2,1,2
40,38,11,38
111,32,3,32
111,8,3,8
160,6,6,6
160,8,8,8
10,2,2,2
182,12,4,12
182,35,6,35
10,6,2,6
162,3,1,3
190,2,1,2
190,3,1,3
190,36,36,36
190,34,16,34
190,77,37,77
190,45,14,45
120,3,1,3
120,3,1,3
13,9,3,9
43,4,4,4
43,5,5,5
190,392,33,392
20,62,12,62
20,7,7,7
20,2,2,2
190,15,14,15
190,33,33,33
190,9,2,9
190,9,5,9
190,43,42,43
190,7,6,7
190,3,1,3
190,14,13,14
190,11,10,11
162,2,1,2
71,4,2,4
874,5,1,5
190,14,13,14
10,3,3,3
42,10,5,10
64,52,10,52
874,5,1,5
190,29,14,29
193,1,1,1
84,6,3,6
40,20,5,20
30,16,2,16
30,4,2,4
17,18,8,18
180,44,11,44
10,44,11,44
10,66,11,66
180,66,11,66
841,15,15,15
14,10,1,10
1241,10,1,10
70,2,1,2
100,2,1,2
13,24,1,24
13,6,1,6
12,81,26,81
70,6,1,6
70,2,1,2
100,1,1,1
100,1,1,1
100,6,1,6
17,6,1,6
841,19,15,19
841,11,11,11
841,75,15,75
90,1,1,1
90,7,1,7
190,10,1,10
90,20,1,20
10,6,1,6
1411,5,1,5
173,5,1,5
13,2,1,2
50,10,1,10
30,2,1,2
30,2,1,2
32,2,1,2
32,2,1,2
33,2,1,2
43,2,1,2
43,68,17,68
190,390,30,390
42,10,1,10
112,10,1,10
42,8,1,8
42,2,1,2
43,11,1,8
43,2,1,2
10,1243,92,1208
14,6,1,6
20,91,9,91
30,105,16,105
31,180,16,180
36,50,5,50
36,10,1,10
36,6,1,6
40,20,1,20
42,72,10,72
42,10,2,10
43,40,3,40
43,18,3,18
51,23,3,23
51,53,9,53
61,5,1,5
72,5,1,5
100,480,42,480
112,5,1,5
130,220,15,220
190,16,2,16
190,4,2,4
192,120,12,120
36,2,1,2
42,550,56,550
43,107,20,102
46,10,1,10
1243,24,12,24
1243,23,12,23
1243,1,1,1
40,18,3,18
61,10,1,10
141,6,3,6
30,2,1,2
30,67,12,67
50,2,1,2
173,7,1,7
173,3,1,3
36,10,1,10
190,6,2,6
190,4,2,4
20,339,26,295
20,8,1,8
36,10,1,10
40,6,1,6
42,1134,113,1134
43,1410,121,1305
43,4,2,4
43,40,3,40
46,410,25,410
46,4,1,4
46,1,1,1
80,1,1,1
112,560,52,515
112,90,15,90
112,56,14,56
173,10,1,10
173,100,10,100
173,4,2,4
173,6,2,6
180,110,11,110
180,180,18,180
190,5,1,5
190,592,57,592
190,8,1,8
190,45,2,45
42,3,1,3
190,5,1,5
10,42,5,42
20,121,31,121
20,1,1,1
20,115,33,115
20,90,21,90
36,5,1,5
40,10,1,10
42,745,74,715
42,9,2,9
51,10,1,10
841,60,12,60
100,42,5,42
100,3,1,3
100,20,4,20
130,20,1,10
171,42,5,42
190,402,66,402
36,4,1,4
43,61,14,61
10,10,1,10
14,7,7,7
14,17,8,17
20,8,1,8
20,2,1,2
31,10,1,10
36,20,2,20
36,10,1,10
40,10,1,10
40,6,1,6
40,10,1,10
41,10,1,10
42,10,1,10
42,15,4,15
42,6,1,6
42,96,26,90
42,4,1,4
43,15,1,10
43,110,22,110
43,6,1,6
43,16,3,16
60,10,1,10
80,44,3,44
40,20,5,20
20,10,1,10
42,42,10,42
43,1135,117,1130
141,243,111,243
140,3,1,3
141,654,107,654
40,6,1,6
60,12,3,12
60,52,5,52
874,30,3,30
111,41,22,41
30,8,1,8
36,4,1,4
36,6,1,6
43,1106,119,1069
100,20,5,20
112,96,19,96
43,22,10,22
20,44,11,44
51,22,11,22
53,11,11,11
141,11,11,11
36,60,12,60
10,3,1,3
13,24,8,24
14,6,1,6
14,3,1,3
20,2095,217,1990
20,10,1,5
20,10,1,10
242,30,5,30
36,750,47,700
36,2,1,2
36,6,2,6
36,12,2,12
40,5,1,5
40,4,1,4
40,6,1,6
40,6,3,6
40,3,1,3
42,755,74,725
43,10,1,10
43,7,2,7
43,10,1,10
43,45,8,45
43,2,2,2
43,9,2,9
46,4,1,4
46,6,1,6
51,3,1,3
51,6,1,6
57,20,2,20
60,76,8,76
61,5,1,5
81,10,1,10
831,10,1,10
84,3,1,3
841,10,1,10
841,10,1,10
110,56,10,56
173,42,1,42
190,6,1,6
190,4,1,4
42,110,11,110
90,4,1,4
100,4,1,4
36,10,1,10
36,2,1,2
40,10,1,10
42,1350,116,1290
51,10,1,10
45,2,1,2
45,8,1,8
94,10,1,10
100,10,1,10
51,32,5,26
10,10,1,10
25,30,5,30
25,15,6,15
25,3,3,3
42,3,1,3
42,6,2,6
42,14,9,14
43,1,1,1
43,15,6,15
46,5,1,5
84,55,8,55
84,3,3,3
163,1,1,1
163,2,1,2
163,1,1,1
181,4,4,4
181,3,3,3
173,35,5,33
10,4,1,4
42,6,1,6
42,2,1,2
42,2,1,2
10,1,1,1
10,1,1,1
10,3,1,3
14,120,14,120
20,770,77,750
25,16,2,16
36,2,1,2
40,6,1,6
40,4,1,4
40,6,1,6
46,6,1,6
51,305,32,290
57,6,1,6
100,12,4,12
112,210,19,200
112,6,1,6
841,2,1,2
36,5,1,5
43,145,12,130
80,3,1,3
80,2,1,2
80,6,1,6
1123,132,21,132
190,132,21,132
20,14,2,14
46,4,1,4
51,24,4,24
12,5,1,5
20,73,8,73
43,6,6,6
43,28,7,28
190,70,7,70
43,2,1,2
43,12,2,12
43,6,1,6
20,15,3,15
40,6,1,6
42,5,1,5
42,108,18,108
43,30,3,30
874,20,2,20
