EventCode,NumMentions,NumSources,NumArticles
71,1,1,1
71,3,1,3
71,1,1,1
71,5,1,5
13,4,1,4
172,373,48,373
173,388,49,388
52,6,1,6
52,1,1,1
52,2,1,2
120,4,1,4
120,6,1,6
43,5,5,5
112,5,1,5
20,70,7,70
13,2,1,2
70,4,1,4
193,1,1,1
193,10,1,10
42,5,5,5
150,3,1,1
150,3,1,1
180,4,1,4
180,6,1,6
51,4,1,4
51,6,1,6
46,10,1,10
40,4,1,4
40,6,1,6
42,12,2,12
42,4,2,4
42,28,14,28
43,222,62,222
43,2,2,2
43,2,2,2
190,64,21,64
841,10,1,10
10,61,6,56
42,36,5,36
42,24,5,24
60,3,1,3
60,18,5,18
70,6,1,6
100,45,5,45
100,10,1,10
100,3,1,3
42,71,12,69
43,28,6,28
61,2,1,2
90,2,1,2
190,12,5,12
190,18,6,18
40,4,1,2
10,53,10,53
40,6,1,6
40,4,1,4
42,3,1,3
20,3,1,3
42,305,61,305
43,455,48,425
43,7,6,7
43,3,1,3
51,3,1,3
80,6,1,6
130,1,1,1
173,10,1,10
173,1,1,1
190,6,1,6
190,2,1,2
173,10,1,10
20,4,1,4
190,18,2,18
10,6,1,6
10,4,1,4
20,370,42,360
20,23,20,23
20,105,22,105
36,10,1,10
42,6,1,6
42,474,78,474
42,4,1,4
43,4,1,4
43,120,40,120
43,234,39,234
46,10,1,10
51,50,4,50
112,10,1,10
170,8,1,8
170,2,1,2
190,540,54,540
36,26,7,26
14,110,10,110
43,38,5,38
51,6,1,6
51,4,1,4
36,10,1,10
42,10,1,10
42,28,5,24
42,367,50,356
43,40,5,40
46,1,1,1
110,587,135,583
173,2558,163,2520
190,104,13,100
20,10,1,10
43,2,1,2
42,6,1,6
42,28,4,28
42,4,1,4
14,115,13,115
14,10,1,10
36,10,1,10
36,134,23,134
36,24,1,24
36,6,1,6
36,8,2,8
40,10,1,10
40,6,1,6
40,10,1,10
43,7,2,7
46,3,1,3
46,6,2,6
51,10,1,10
51,208,69,208
51,50,10,50
52,6,1,6
60,245,49,245
62,5,1,5
190,10,1,10
173,6,1,6
190,6,1,6
40,5,1,5
42,2,1,2
42,6,1,6
42,5,1,5
42,3,1,3
42,2,1,2
42,12,2,12
42,80,8,80
43,6,1,6
43,4,1,4
110,15,2,15
190,30,4,30
36,15,1,10
100,8,1,8
40,2,2,2
40,2,1,2
40,3,1,3
42,13,2,13
20,215,20,215
133,215,20,215
