EventCode,NumMentions,NumSources,NumArticles
13,4,1,4
173,24,4,24
190,8,1,8
190,2,1,2
20,8,1,8
40,6,1,6
10,4,1,4
40,2,1,2
173,10,5,10
173,8,4,8
50,6,1,6
50,6,1,6
50,2,1,2
50,2,1,2
42,30,3,30
831,5,1,5
831,1,1,1
90,2,1,2
43,30,3,30
173,2,1,2
173,3,1,3
50,2,1,2
50,2,1,2
90,8,1,8
43,36,18,36
43,36,18,36
10,3,1,3
84,3,1,3
10,2,1,2
84,2,1,2
42,36,18,36
42,36,18,36
10,1,1,1
84,1,1,1
40,70,7,70
42,6,1,6
46,70,7,70
40,5,1,5
42,64,7,56
1243,12,2,12
1712,10,1,10
43,60,6,60
43,4,1,4
36,10,1,10
42,10,1,10
50,10,1,10
51,5,1,5
51,6,1,6
73,5,1,5
111,110,11,100
20,67,13,63
30,4,1,4
42,12,6,12
46,10,1,10
73,86,9,86
190,15,3,15
40,2,1,2
20,71,11,71
20,2,1,2
43,7,1,7
173,8,4,8
173,2,1,2
190,31,4,26
20,910,83,850
20,8,1,8
20,2,1,2
36,56,28,56
36,40,4,40
40,10,1,10
42,10,1,10
42,60,9,60
43,10,1,10
46,6,1,6
46,18,8,18
46,9,8,9
80,110,13,110
841,3,1,3
841,2,1,2
841,10,1,10
100,10,1,10
112,315,31,310
112,6,1,6
112,2,1,2
114,8,2,8
173,20,3,20
190,10,1,10
190,388,42,388
190,16,1,10
42,13,1,10
42,2,1,2
43,3,1,3
43,86,4,51
10,172,26,172
43,4,1,4
46,71,23,71
46,341,80,341
100,95,19,95
190,10,1,10
43,8,1,8
43,2,1,2
36,10,1,5
62,4,1,4
40,5,1,5
42,2,1,2
42,8,1,8
43,2,1,2
43,12,2,12
20,6,2,6
54,10,1,10
20,2,1,2
112,6,3,6
145,2,1,2
20,152,38,152
13,95,11,95
13,19,3,19
40,5,1,5
42,4,1,4
42,1,1,1
46,2,1,2
46,30,10,30
61,10,1,10
100,10,1,10
130,10,1,10
190,10,1,10
20,72,12,72
36,8,1,8
42,1006,4,1006
43,4,1,4
80,10,1,10
180,1,1,1
43,2,1,2
51,2,1,2
190,60,17,60
190,48,17,48
40,3,1,3
42,2,1,2
43,2,1,2
71,6,1,6
20,227,40,227
30,4,2,4
40,8,1,8
40,2,1,2
42,191,31,191
100,12,2,12
1123,10,1,10
36,48,17,48
36,128,26,128
36,4,4,4
36,6,6,6
43,239,32,233
20,104,49,104
190,488,49,488
57,10,1,10
20,20,1,15
42,10,1,10
46,10,1,10
20,35,4,35
40,5,1,5
42,75,25,75
46,2,2,2
42,10,1,10
51,5,1,5
173,2,1,2
173,6,1,6
51,2,1,2
112,5,1,5
42,2,1,2
42,8,1,8
43,30,3,30
181,30,3,30
190,30,3,30
40,4,2,4
42,32,15,32
40,4,1,4
173,51,7,51
14,4,1,4
51,30,3,30
63,2,1,2
63,8,1,8
130,36,3,36
42,3,1,3
40,6,1,6
51,10,1,10
14,160,18,160
43,6,1,6
42,392,33,268
841,3,3,3
10,16,4,16
13,4,2,4
14,4,1,4
20,18,3,18
20,8,2,8
20,8,1,8
20,52,14,52
20,467,103,467
20,4,2,4
20,19,3,18
30,11,8,11
36,18,6,18
36,4,1,4
36,20,8,18
36,36,8,34
36,44,8,40
36,4,1,4
36,44,11,44
36,4,1,4
36,2,1,2
36,8,1,8
40,4,1,4
40,1,1,1
40,5,1,5
40,56,7,56
40,106,52,106
40,6,1,6
40,26,3,26
40,10,1,10
42,6,6,6
42,5,1,5
42,75,15,75
42,136,19,132
42,6,1,6
42,59,12,37
42,48,9,48
42,24,12,24
42,66,15,62
42,44,5,29
42,46,7,46
42,72,8,72
42,93,14,93
42,366,49,364
42,14,3,14
43,89,13,79
43,157,30,157
43,620,113,610
43,103,16,94
43,36,6,36
43,267,48,248
46,1,1,1
46,16,8,16
46,36,5,36
46,4,1,4
46,1,1,1
51,30,6,28
51,4,1,4
51,1,1,1
57,1,1,1
841,10,1,10
100,21,8,21
110,2,1,2
111,22,5,22
111,326,53,190
112,2,1,2
112,81,27,81
1243,4,1,4
130,14,7,14
130,28,7,28
130,4,1,4
130,28,7,28
164,6,1,6
164,4,1,4
172,107,12,107
173,4,1,4
173,22,5,20
173,14,1,8
173,8,2,6
173,3,1,3
173,25,10,25
173,4,1,4
173,2,1,2
173,10,2,10
180,3,1,3
180,4,1,4
181,8,4,8
181,8,4,8
190,44,13,43
190,8,3,8
190,2,2,2
190,4,1,4
190,314,31,314
190,8,1,8
190,72,8,72
190,32,8,32
40,3,1,3
112,8,1,8
42,128,31,128
46,3,1,3
43,1,1,1
43,4,1,4
43,2,1,2
42,61,16,61
1121,5,1,5
190,6,1,6
51,6,1,6
51,4,1,4
190,35,17,35
190,48,21,48
111,2,1,2
111,8,1,8
40,810,44,810
43,6,1,6
46,790,44,790
16,10,1,10
43,2,1,2
43,2,1,2
120,1,1,1
40,5,1,5
42,1,1,1
42,1,1,1
43,64,7,56
80,60,9,60
80,2,1,2
42,104,13,104
42,26,13,26
190,85,9,75
190,470,47,470
20,10,1,10
42,2,1,2
42,8,1,8
333,2,1,2
333,8,1,8
112,2,1,2
20,2,1,2
20,2,1,2
42,60,6,60
42,4,1,4
70,14,7,14
70,6,6,6
141,5,1,5
42,4,1,4
42,1,1,1
46,10,1,10
160,8,1,8
160,2,1,2
46,10,1,10
100,20,1,10
42,5,1,5
10,6,1,6
10,2,1,2
10,2,1,2
10,300,34,300
10,20,1,10
10,412,68,412
10,60,5,60
10,280,69,280
20,420,40,395
20,10,2,10
20,10,2,10
20,120,20,120
20,5,1,5
36,10,1,10
43,10,1,10
50,10,1,10
51,310,29,275
80,5,1,5
84,400,37,400
112,6,1,6
120,6,1,6
160,20,4,20
20,8,1,8
20,2,1,2
42,30,6,30
42,30,6,30
112,6,1,6
120,6,1,6
40,10,1,10
10,7,1,7
194,48,15,48
50,10,1,10
50,10,1,10
841,10,1,10
841,10,1,10
20,10,1,10
42,10,1,10
10,521,131,521
10,572,155,572
51,2,1,2
51,1,1,1
51,2,1,2
51,7,1,7
172,4,1,4
172,4,1,4
10,8,2,8
10,15,9,15
10,3,3,3
15,112,27,112
20,35,3,35
20,8,2,8
43,12,6,12
45,14,7,14
46,10,1,10
51,30,5,20
51,81,8,45
51,10,5,10
831,2,1,2
841,4,1,4
90,40,4,40
90,8,1,8
90,10,1,10
129,12,2,12
129,8,1,8
172,56,27,56
190,15,3,15
13,20,5,20
13,24,6,24
36,4,1,4
43,104,13,104
43,26,13,26
70,24,6,24
70,18,6,18
43,60,6,60
12,12,2,12
110,1,1,1
40,6,1,6
100,10,1,10
190,15,3,15
110,4,1,4
20,4,2,4
60,56,7,56
110,10,1,10
40,2,1,2
42,12,6,12
42,2,1,2
42,2,1,2
42,2,1,2
50,12,3,12
50,18,3,18
42,2,1,2
12,4,2,4
10,6,1,6
13,4,1,4
36,3,1,3
