EventCode,NumMentions,NumSources,NumArticles
40,4,2,4
40,2,2,2
40,4,2,4
51,5,1,5
40,12,2,12
42,10,1,10
874,74,7,74
874,22,5,22
11,6,1,6
110,18,3,18
110,6,1,6
10,30,3,30
43,10,1,10
160,6,3,6
160,6,3,6
160,18,3,18
110,12,3,12
110,4,1,4
40,2,2,2
12,16,8,16
112,16,8,16
40,12,2,12
51,2,2,2
51,4,3,4
51,3,3,3
51,21,3,21
111,123,44,123
173,760,76,760
60,10,1,10
111,88,44,88
112,88,44,88
193,88,44,88
173,2,1,2
173,6,1,6
10,8,4,8
46,14,3,14
46,6,3,6
46,70,5,70
30,160,12,160
30,128,12,128
30,32,12,32
51,10,10,10
51,40,10,40
20,10,1,10
12,114,19,114
12,76,19,76
46,4,1,4
46,6,1,6
51,20,10,20
60,8,1,8
40,24,7,24
40,12,3,12
12,10,1,10
20,4,1,4
20,6,1,6
172,24,8,24
172,56,8,56
111,6,1,6
46,1,1,1
46,1,1,1
112,6,3,6
154,20,4,20
36,6,2,6
46,12,2,12
50,10,1,10
43,8,2,8
190,18,3,10
42,20,1,10
20,305,25,298
40,4,1,4
42,24,8,24
43,4,1,4
190,26,4,26
190,1,1,1
36,5,1,5
36,5,1,5
20,3,1,3
31,10,1,10
36,5,1,5
36,5,1,5
36,6,1,6
40,10,1,10
40,6,1,6
40,5,1,5
40,3,1,3
42,47,6,47
43,10,1,10
43,10,1,10
43,40,4,40
43,112,40,112
43,10,1,10
43,379,40,369
43,161,18,161
46,10,1,10
46,10,1,10
51,6,1,6
51,10,1,10
84,206,28,206
100,155,10,155
172,8,1,8
190,5,1,5
10,6,2,6
20,40,5,40
20,10,1,10
40,6,1,6
42,4,1,4
42,154,23,146
42,14,3,14
42,8,1,8
46,5,1,5
46,66,4,66
51,20,5,20
51,232,28,231
51,10,2,10
80,58,14,50
111,4,1,4
112,8,2,8
30,44,2,44
40,10,2,10
46,4,1,4
46,6,1,6
51,209,26,209
61,114,11,104
100,24,7,24
42,1,1,1
42,1,1,1
10,20,2,20
20,1,1,1
20,8,1,8
20,10,1,10
20,1,1,1
20,3,1,3
42,5,1,5
42,72,70,72
43,30,3,30
46,3,1,3
46,2,1,2
46,6,1,6
51,61,2,61
84,3,3,3
84,40,6,40
100,20,2,20
100,34,6,34
112,385,43,385
112,6,1,6
112,4,1,4
173,15,2,15
173,51,1,51
173,14,2,14
180,10,1,10
190,15,2,15
190,152,19,152
193,10,1,10
173,510,46,430
190,10,1,10
10,10,1,10
10,3,1,3
14,798,76,788
20,10,1,10
26,10,1,10
36,10,1,10
36,10,1,10
40,10,1,10
42,20,3,20
43,10,1,10
43,2,1,2
43,24,4,24
51,6,1,6
100,280,124,280
130,1158,412,1156
14,10,1,10
20,77,7,77
20,2,1,2
25,75,15,75
30,30,5,30
30,22,6,22
36,10,1,10
40,10,2,10
42,10,1,10
42,30,3,30
43,5,1,5
43,10,1,10
43,19,3,19
46,10,1,10
57,10,1,10
841,5,2,5
841,8,2,8
110,74,12,74
112,390,39,390
1124,10,1,10
173,405,44,395
