EventCode,NumMentions,NumSources,NumArticles
70,2,1,2
70,8,1,8
172,1,1,1
172,4,1,4
42,3,1,3
42,2,1,2
61,16,4,16
90,510,117,510
90,333,114,333
193,20,2,20
84,10,1,10
51,6,1,6
114,5,1,5
20,1,1,1
1821,8,4,8
71,6,1,6
71,9,1,9
90,23,23,23
90,46,23,46
172,1,1,1
172,1,1,1
20,296,145,296
20,1226,153,1226
172,1,1,1
172,1,1,1
172,3,1,3
61,14,3,14
61,58,8,58
61,41,19,41
61,38,19,38
51,20,2,20
20,2,1,2
51,4,1,4
43,4,1,4
172,1,1,1
172,1,1,1
172,3,1,3
46,2,1,2
172,1,1,1
172,1,1,1
173,13,2,13
173,3,1,3
42,8,2,8
80,4,2,4
43,8,2,8
311,10,1,10
172,3,3,3
172,18,3,18
14,55,11,55
80,10,2,10
40,12,2,12
14,10,1,10
172,4,2,4
172,24,3,24
173,21,21,21
46,156,34,156
46,42,21,42
46,54,13,54
173,147,21,147
173,21,21,21
173,21,21,21
173,45,13,45
173,87,13,87
46,156,34,156
46,42,21,42
46,54,13,54
46,42,32,42
40,6,1,6
40,4,1,4
46,10,1,10
833,2,1,2
40,6,1,6
40,4,1,4
46,8,1,8
46,2,1,2
20,22,21,22
30,149,25,149
30,22,21,22
61,12,6,12
100,4,1,4
831,3,1,3
831,2,1,2
20,9,3,9
20,9,3,9
40,2,1,2
75,4,1,4
14,3,1,3
43,21,6,21
100,1,1,1
100,4,1,4
20,366,57,302
36,74,7,74
1243,12,2,12
10,1355,113,1335
10,10,1,10
14,5,1,5
14,120,12,120
22,12,2,12
36,30,2,10
36,6,1,6
40,10,1,10
40,4,1,4
40,6,1,6
40,6,1,6
40,4,1,4
42,560,50,540
43,2,1,2
43,1,1,1
46,25,1,5
51,50,5,50
60,245,28,235
100,18,6,18
124,20,1,20
20,252,53,236
20,4,2,4
20,16,2,16
42,18,1,10
42,31,16,31
43,10,1,10
43,206,48,205
60,42,3,42
60,24,6,24
84,24,2,24
100,54,10,54
112,43,9,41
173,4,2,4
173,18,12,18
173,33,9,33
173,3,3,3
190,40,26,40
190,9,1,4
190,302,63,302
190,7,7,7
43,4,1,4
40,11,1,8
46,10,1,10
46,1,1,1
46,1,1,1
51,10,1,10
20,82,39,82
42,386,38,386
42,8,2,8
42,1,1,1
42,6,1,6
42,388,58,371
43,2,1,2
43,686,88,686
43,148,73,148
61,8,2,8
61,4,2,4
112,35,8,35
190,16,1,16
112,1,1,1
112,1,1,1
42,12,2,12
51,7,2,7
42,20,2,20
130,543,119,543
42,1020,117,1020
30,10,1,10
10,11,2,11
20,628,63,628
20,2,2,2
20,54,1,54
36,1,1,1
42,8,2,8
42,6,1,6
42,112,31,112
42,6,2,6
42,226,33,226
43,22,11,22
51,37,5,37
841,12,2,12
841,2,2,2
841,2,2,2
100,12,2,12
112,2,1,2
112,276,37,276
112,578,66,578
173,5,1,5
173,73,10,73
173,6,1,6
1822,2,1,2
190,10,1,10
190,20,2,12
190,3,1,3
190,2,2,2
190,3,1,3
190,12,3,12
40,1,1,1
14,36,6,36
30,3,1,3
30,36,6,36
36,2,1,2
40,5,1,5
42,24,12,24
42,472,52,472
42,6,3,6
42,60,30,60
43,735,71,710
43,36,9,36
43,9,9,9
43,5,1,5
43,36,7,36
46,2,1,2
46,3,1,3
51,10,1,10
51,1,1,1
51,6,1,6
51,4,1,4
60,10,1,10
100,130,13,130
100,19,4,19
20,71,9,71
141,81,20,81
13,10,1,10
353,6,2,6
36,5,1,5
36,10,1,10
36,5,1,5
36,10,1,10
40,10,1,10
42,20,1,20
42,6,1,6
42,6,2,6
42,6,2,6
42,5,1,5
43,10,1,10
43,10,1,10
51,10,1,10
52,3,1,3
