EventCode,NumMentions,NumSources,NumArticles
42,64,63,64
42,9,9,9
36,2,1,2
42,2,1,2
42,2,1,2
42,6,1,6
10,8,4,8
70,5,1,5
10,5,1,5
353,5,1,5
190,236,40,236
190,4,2,4
112,4,2,4
112,98,12,98
51,1,1,1
51,4,1,4
90,80,20,80
90,196,32,196
173,18,3,18
173,24,4,24
173,114,51,114
173,222,97,222
42,4,1,4
112,80,20,80
112,196,32,196
841,25,5,25
141,25,5,25
14,57,19,57
173,30,15,30
173,28,14,28
173,84,14,84
129,42,4,42
129,12,3,12
129,16,4,16
71,6,1,6
71,2,1,2
71,2,1,2
162,6,1,6
162,2,1,2
162,2,1,2
43,5,1,5
51,8,1,8
51,2,1,2
71,2,1,2
71,8,1,8
162,2,1,2
162,8,1,8
50,12,2,12
50,89,15,89
43,64,63,64
43,9,9,9
50,26,5,26
43,4,1,4
20,5,1,5
20,2,1,2
36,2,1,2
42,10,1,10
51,4,1,4
1241,2,1,2
10,1,1,1
10,2,1,2
10,3,1,3
20,60,10,60
20,8,4,8
90,5,1,5
90,4,1,4
90,1,1,1
42,5,1,5
90,5,1,5
10,1,1,1
20,8,4,8
20,80,40,80
1241,2,1,2
173,2,1,2
112,10,1,10
36,2,1,2
36,2,1,2
43,2,1,2
43,2,1,2
36,6,1,6
43,6,1,6
40,42,4,42
42,6,1,6
16,16,8,16
112,8,8,8
12,2,1,2
43,6,1,6
43,4,1,4
42,10,5,10
40,6,3,6
40,4,2,4
42,30,5,30
12,2,1,2
173,7,7,7
173,8,8,8
173,1,1,1
1121,14,8,14
1121,1,1,1
42,1,1,1
42,1,1,1
42,2,1,2
43,10,5,10
43,30,5,30
181,10,5,10
181,40,5,40
120,592,55,592
129,24,3,24
40,6,1,6
40,6,3,6
40,4,2,4
42,2,1,2
42,2,1,2
46,2,1,2
46,2,1,2
43,32,16,32
10,3,1,3
192,1,1,1
192,6,1,6
173,4,4,4
173,4,4,4
100,4,1,4
100,1,1,1
10,8,2,8
10,18,3,18
42,48,16,48
15,188,64,188
173,17,16,17
100,5,1,5
15,342,55,342
90,2,1,2
43,4,1,4
125,6,1,6
125,2,1,2
16,6,1,6
16,2,1,2
111,3,1,3
13,1,1,1
111,1,1,1
30,22,11,22
30,44,11,44
30,22,11,22
30,22,11,22
13,1,1,1
141,8,1,8
43,10,1,10
42,10,1,10
84,10,1,10
154,5,1,5
42,61,8,61
14,438,71,438
36,264,23,264
42,140,15,140
43,289,33,278
43,2,1,2
43,2,1,2
111,4,1,4
112,4,1,4
1712,2,1,2
50,10,1,10
1124,10,5,10
46,90,9,90
10,5,1,5
14,40,4,40
20,14,2,14
20,439,42,424
36,10,1,10
42,130,13,130
42,9,3,9
43,3,1,3
43,35,3,20
46,36,3,36
46,8,3,8
50,5,1,5
51,134,16,134
51,94,10,72
51,57,10,57
112,108,20,108
114,10,1,10
130,20,2,20
173,60,11,60
192,80,20,80
192,178,29,178
192,30,6,30
14,4,1,4
241,34,17,34
40,4,1,4
40,2,1,2
40,4,1,4
42,144,17,126
42,2,1,2
42,8,1,8
42,4,1,4
43,2,1,2
43,8,1,8
46,4,2,4
60,4,2,4
841,4,3,4
112,450,46,445
112,3,1,3
112,4,1,4
112,4,1,4
112,39,12,39
112,6,2,6
173,7,1,7
173,53,11,53
190,4,1,4
46,8,2,8
42,26,4,26
42,4,1,4
42,375,54,365
42,22,11,22
43,279,46,271
50,3,1,3
173,37,6,33
43,5,1,5
60,5,1,5
112,2,1,2
20,6,1,6
40,10,1,10
42,11,2,11
42,233,80,233
42,5,2,5
42,31,15,31
42,21,4,21
