EventCode,NumMentions,NumSources,NumArticles
60,120,12,120
112,8,2,8
51,18,2,18
71,1,1,1
71,3,1,3
51,12,2,12
71,22,11,22
141,22,11,22
71,33,11,33
141,33,11,33
71,22,11,22
13,1,1,1
73,2,1,2
73,4,1,4
73,2,1,2
73,4,1,4
71,33,11,33
10,4,1,4
130,10,1,10
71,1,1,1
71,1,1,1
71,3,1,3
13,2,1,2
43,6,2,6
42,6,2,6
43,4,2,4
182,1,1,1
182,1,1,1
182,3,1,3
42,4,2,4
36,6,1,6
40,6,1,6
172,80,8,80
90,8,2,8
36,2,1,2
20,44,11,44
10,8,1,8
10,2,1,2
112,7,1,7
112,3,1,3
190,352,125,352
190,573,132,573
90,2,2,2
36,4,1,4
40,4,1,4
20,40,10,40
36,6,1,6
40,6,1,6
36,4,1,4
40,4,1,4
20,60,10,60
193,27,1,27
193,27,1,27
46,2,1,2
46,6,1,6
46,2,1,2
10,3,1,3
13,4,1,4
36,3,1,3
42,4,1,4
20,20,5,20
20,12,2,12
40,4,1,4
43,146,22,141
60,2,1,2
60,8,1,8
80,17,2,17
80,2,1,2
80,8,1,8
874,20,1,20
111,8,2,8
10,4,1,4
141,177,20,177
20,5,1,5
20,80,7,80
20,245,36,221
20,51,13,51
40,3,1,3
40,20,2,20
42,25,1,10
42,8,1,4
42,2,1,2
43,7,1,7
43,71,68,71
46,6,1,6
60,180,19,180
42,370,33,355
62,20,2,20
190,198,32,198
60,3,1,3
36,7,1,7
36,16,2,16
40,10,1,10
42,10,1,10
42,19,3,16
42,376,61,343
43,5,1,5
51,65,11,65
20,10,1,10
43,1135,114,1125
43,3,1,3
43,1,1,1
130,10,1,10
173,3250,283,3060
173,1241,147,1241
190,20,2,20
190,20,2,20
191,20,1,20
43,5,2,5
54,2,1,2
112,6,1,6
112,4,1,4
173,20,2,20
43,3,2,3
43,74,16,70
20,740,77,675
20,45,1,25
30,20,1,20
36,10,1,10
42,20,2,20
43,2,1,2
51,5,1,5
841,1,1,1
100,12,2,12
173,1,1,1
40,5,1,5
42,10,1,10
14,659,152,659
20,2,1,2
25,42,5,42
40,6,2,6
40,18,2,18
40,6,2,6
42,3,1,3
42,11,2,11
42,2,1,2
43,15,2,15
46,10,1,10
120,52,8,52
20,126,21,126
12,4,1,4
14,10,2,10
14,925,123,925
36,6,1,6
42,8,1,8
42,32,5,32
42,2,1,2
43,4,1,4
51,1,1,1
100,27,6,27
100,60,8,60
40,4,1,4
42,100,21,100
20,10,1,10
36,1,1,1
36,4,1,4
36,2,1,2
40,10,1,10
51,3,2,3
51,2,1,2
51,24,5,24
51,8,1,8
90,10,1,10
100,10,1,10
112,35,5,35
120,10,1,10
173,205,21,205
190,10,1,10
190,70,7,70
112,20,2,20
43,10,1,10
36,2,1,2
43,7,2,7
42,64,8,64
42,16,8,16
40,2,1,2
10,8,1,8
40,4,1,4
43,339,26,306
36,5,1,5
36,3,1,2
190,108,47,108
42,6,1,6
46,3,1,3
100,19,3,19
36,58,10,56
42,10,1,10
42,25,5,25
43,20,1,10
874,10,1,10
14,6,3,6
14,12,3,12
42,15,3,15
46,1,1,1
46,1,1,1
40,10,1,10
54,4,1,4
19,4,1,4
20,268,45,268
40,2,1,2
46,2,1,2
51,5,1,5
100,10,1,8
100,1,1,1
100,2,1,2
190,5,1,5
42,10,1,10
42,445,47,445
42,3,1,3
43,3,1,3
46,17,2,17
193,3,1,3
42,3,1,3
51,5,1,5
60,10,1,10
190,10,1,10
190,4,1,4
190,4,2,4
10,4,1,4
10,128,19,124
46,2,1,2
46,2,1,2
46,3,1,3
42,1,1,1
36,4,1,4
36,4,1,4
51,40,2,40
51,2,1,2
130,10,1,10
111,12,6,12
20,176,32,176
241,2,1,2
46,472,48,472
51,69,13,69
57,10,1,10
61,55,7,55
190,110,47,110
190,94,41,94
190,292,56,292
42,61,10,61
51,34,7,34
112,12,3,12
42,2,1,2
130,18,9,18
10,399,66,399
173,5,1,5
42,1,1,1
42,1,1,1
36,20,2,20
40,446,3,446
42,3,1,3
36,12,3,12
10,2,1,2
10,50,16,47
10,96,12,84
14,712,121,712
20,130,32,128
20,90,45,90
20,4,2,4
20,32,16,32
20,74,3,74
20,30,6,30
241,130,43,130
241,7,4,7
311,10,5,10
36,10,1,10
36,8,1,8
36,10,1,10
36,45,7,45
40,2,1,2
40,1047,152,1035
40,8,1,8
40,359,65,359
40,24,11,24
42,6,2,6
42,2,1,2
42,6,2,6
42,171,27,147
42,120,11,120
42,18,2,18
42,219,52,209
42,393,78,379
42,9,3,9
42,6,1,6
42,2,1,2
42,31,7,31
42,709,118,691
42,375,80,357
43,6,1,6
43,2,1,2
43,4,1,4
43,85,12,85
43,370,63,367
43,70,2,70
46,1,1,1
46,4,1,4
51,62,45,62
51,36,36,36
51,29,12,29
51,5,3,5
51,131,38,129
51,268,65,266
64,6,1,6
841,8,2,8
90,8,2,8
110,1,1,1
173,2,1,2
173,20,10,20
180,1,1,1
180,8,2,8
190,6,1,6
190,4,1,4
190,10,10,10
190,10,10,10
190,4,1,4
190,45,7,44
10,2,1,2
51,394,137,394
51,260,39,232
40,10,1,10
42,41,6,41
51,1,1,1
42,2,1,2
20,22,6,20
45,5,1,5
45,13,2,13
12,96,12,96
12,24,12,24
190,5,1,5
190,2,1,2
120,10,1,10
111,5,1,5
10,8,1,8
10,5,1,5
20,190,19,190
36,3,1,3
43,24,4,24
173,20,5,20
57,2,1,2
51,10,1,10
43,20,5,20
43,30,5,30
42,10,1,10
51,10,1,10
10,2,1,2
10,2,1,2
42,4,1,4
26,30,3,30
36,20,2,20
40,30,3,30
43,6,1,6
10,16,8,16
10,14,6,14
10,378,56,348
14,12,3,12
20,162,19,162
40,12,2,12
42,156,27,151
51,96,15,96
173,75,12,55
173,6,3,6
192,291,29,284
10,10,5,10
13,20,5,20
60,6,1,6
60,2,1,2
60,2,1,2
10,3,1,3
173,28,7,28
10,10,1,10
42,10,1,10
51,3,2,3
60,2,1,2
60,8,1,8
20,32,8,32
42,30,3,30
10,1,1,1
10,1,1,1
10,2,1,2
60,4,1,4
60,6,1,6
36,98,12,98
40,10,4,10
40,6,3,6
120,4,1,4
120,4,1,4
42,16,2,14
42,7,3,7
80,2,1,2
80,2,1,2
60,10,1,10
60,4,2,4
60,4,2,4
40,24,4,24
43,2,1,2
43,2,1,2
51,24,12,24
100,6,3,6
141,80,8,80
