EventCode,NumMentions,NumSources,NumArticles
71,4,1,4
180,20,2,20
81,2,1,2
81,2,1,2
112,1,1,1
112,7,1,7
20,18,3,18
40,560,70,560
40,140,70,140
20,20,4,16
51,54,9,54
51,36,9,36
40,560,70,560
40,140,70,140
42,10,1,10
43,10,1,10
20,8,2,8
20,12,2,12
51,2,1,2
30,6,1,6
30,2,1,2
30,2,1,2
40,1,1,1
40,1,1,1
30,12,3,12
40,2,1,2
42,2,1,2
42,33,4,33
42,1,1,1
42,42,7,42
42,12,6,12
42,12,6,12
43,2,1,2
100,5,1,5
42,5,1,5
36,10,2,10
40,12,2,12
42,12,2,12
42,69,8,69
43,94,15,94
43,170,16,170
46,10,1,10
36,2,1,2
60,4,1,4
70,42,7,42
100,30,3,30
154,120,23,120
190,30,3,30
10,5,1,5
14,40,7,40
36,6,1,6
40,6,1,6
60,5,1,5
112,45,10,45
190,6,2,6
43,5,1,5
20,730,74,720
20,6,1,6
20,14,1,10
40,10,1,10
43,340,35,325
46,160,10,160
100,6,1,6
130,50,5,50
190,2,1,2
42,29,5,29
90,4,1,4
173,50,5,50
180,30,3,25
20,55,4,55
43,10,1,10
43,152,21,146
51,44,10,38
190,2,1,2
190,27,7,25
10,1,1,1
42,8,1,8
43,2,1,2
43,525,96,525
51,966,236,957
51,25,6,18
51,48,18,45
112,33,10,33
190,2,1,2
20,10,1,10
20,39,5,39
30,6,1,6
30,154,16,154
31,36,6,36
31,24,6,24
36,10,1,10
36,12,4,12
40,3,3,3
40,54,9,54
43,1,1,1
43,4,1,4
43,10,1,10
100,7,1,7
100,1,1,1
100,6,1,6
100,2,1,2
100,2,1,2
172,30,3,30
190,4,1,4
190,10,1,10
190,55,11,55
192,3,1,3
193,71,10,65
42,822,31,812
20,12,3,12
42,20,2,20
42,20,4,20
42,9,3,9
40,1,1,1
40,6,1,6
42,2,1,2
43,2,1,2
112,4,1,4
40,6,1,6
80,6,1,6
43,2,1,2
43,99,17,99
42,6,1,6
42,2,1,2
42,2,1,2
20,10,1,10
233,8,1,8
233,2,1,2
40,10,1,10
120,6,1,6
120,12,2,12
173,30,5,30
190,270,27,270
190,4602,140,1604
190,18,2,18
190,9796,341,4372
40,20,1,20
42,21,3,21
43,10,1,10
43,41,5,41
43,22,4,22
36,2,1,2
42,76,8,76
43,12,4,12
42,4,1,4
43,2,1,2
43,8,4,8
51,424,53,424
51,140,62,140
61,44,5,44
61,13,7,13
160,106,53,106
160,424,53,424
14,154,14,154
36,5,1,5
42,740,74,740
84,141,15,141
190,444,74,444
43,186,1,186
40,2,1,2
42,3,1,3
42,6,1,6
42,7,2,7
42,1,1,1
42,11,3,11
42,9,1,9
42,11,2,11
40,5,1,5
141,10,1,10
51,2,1,2
112,5,1,5
190,45,5,40
51,20,6,20
42,2,1,2
20,60,5,60
36,10,1,10
183,40,5,40
190,54,6,48
190,10,5,10
40,1,1,1
190,60,5,60
10,8,2,8
10,10,2,10
20,8,2,8
20,46,44,46
20,43,43,43
20,6,1,6
20,175,39,171
22,28,13,28
36,8,4,8
40,9,7,9
40,4,2,4
40,6,3,6
40,150,23,150
42,10,2,10
42,21,3,21
42,2,2,2
42,2,1,2
42,119,24,119
42,1066,262,1054
42,599,87,587
42,65,18,65
42,6,6,6
42,120,13,120
42,199,32,196
43,14,7,14
43,4,1,4
43,10,1,10
43,43,12,43
43,6,1,6
43,2792,192,2127
46,10,1,10
46,2,1,2
51,8,2,8
51,4,2,4
51,2,1,2
51,2,1,2
51,127,38,127
52,2,1,2
84,14,2,14
90,224,106,224
100,16,4,16
111,48,22,48
112,10,1,10
112,16,5,16
112,33,3,33
173,70,8,70
173,5,1,5
173,24,4,24
173,69,21,69
173,51,7,51
173,72,22,72
190,2,1,2
190,98,11,60
190,64,15,64
193,8,1,4
193,4,1,4
43,32,15,32
36,4,4,4
190,10,5,10
193,16,7,14
36,4,1,4
22,75,13,75
40,33,4,33
40,1,1,1
42,6,1,6
43,1,1,1
42,6,1,6
17,3,1,3
17,1,1,1
17,1,1,1
51,12,2,12
51,8,2,8
51,4,1,4
51,6,1,6
43,140,70,140
43,140,70,140
43,420,70,420
10,138,20,138
20,10,2,10
20,25,5,21
40,18,3,18
42,213,22,204
43,2,1,2
43,52,8,52
43,204,20,204
43,4,1,4
43,12,6,12
43,12,6,12
111,120,12,120
160,50,5,50
171,8,1,8
42,3,1,3
43,3,1,3
42,68,68,68
43,3,3,3
42,64,64,64
42,1,1,1
10,36,18,36
20,1,1,1
20,2,1,2
20,1,1,1
61,1,1,1
61,3,1,3
42,8,1,8
43,4,1,4
20,4,1,4
36,56,2,48
36,14,2,12
42,56,2,48
42,14,2,12
46,72,18,72
61,4,1,4
171,1,1,1
171,1,1,1
36,8,1,8
20,46,5,46
190,1,1,1
10,8,4,8
42,3,1,3
43,3,1,3
120,8,1,8
111,105,1,105
17,130,65,130
17,446,74,446
17,148,74,148
17,12,6,12
10,4,1,4
17,10,1,10
20,8,2,8
43,5,1,5
112,1,1,1
112,1,1,1
50,6,1,6
51,6,1,6
20,4,2,4
20,4,2,4
40,8,1,8
40,2,1,2
42,8,1,8
42,2,1,2
42,2,1,2
42,2,1,2
10,5,1,5
10,6,1,6
10,20,2,20
12,10,1,10
12,552,56,552
13,5,1,5
15,4,1,4
20,4,1,4
20,137,14,137
20,5,1,5
42,70,11,70
42,39,7,39
42,170,16,170
43,10,1,10
43,55,6,55
46,8,1,8
46,42,2,42
51,3,1,3
70,10,1,10
71,215,22,215
71,1,1,1
71,4,1,4
71,10,1,10
84,485,2,485
90,200,36,200
110,10,1,10
114,57,7,57
192,40,1,40
193,2,1,2
51,2,1,2
51,2,1,2
51,6,1,6
10,2,1,2
10,8,1,8
10,10,1,10
43,4,1,4
43,1,1,1
10,8,1,8
10,2,1,2
10,4,1,4
40,10,1,10
90,220,21,220
114,20,5,20
61,220,21,220
30,1,1,1
162,1,1,1
10,8,1,8
10,2,1,2
10,8,1,8
10,2,1,2
13,5,1,5
42,28,13,28
42,119,16,119
42,47,21,47
43,280,58,280
70,20,10,20
70,80,10,80
110,20,2,20
111,20,2,20
173,8,1,8
190,1,1,1
190,1,1,1
90,2,1,2
90,35,4,35
172,214,53,214
172,312,52,312
173,17,14,17
173,17,14,17
173,68,14,68
10,2,1,2
10,17,4,17
10,2,1,2
12,4,1,4
20,30,5,30
20,249,46,247
20,10,1,10
36,12,3,12
50,2,1,2
51,55,6,55
51,14,3,14
60,196,23,196
112,4,1,4
120,19,3,19
120,2,1,2
190,454,24,454
36,4,1,4
72,4,1,4
173,4,1,4
111,1,1,1
173,2,1,2
173,6,1,6
193,2,1,2
193,2,1,2
190,4,1,4
192,6,3,6
70,2,1,2
70,3,1,3
70,5,1,5
80,1,1,1
111,1,1,1
40,6,6,6
41,18,6,18
112,440,1,440
40,6,6,6
17,24,3,24
90,10,1,10
111,8,1,8
42,126,17,126
100,3,1,3
112,2,1,2
40,1,1,1
40,1,1,1
173,2,1,2
173,1,1,1
10,4,1,4
10,43,43,43
173,44,44,44
111,24,3,24
12,10,1,10
40,2,1,2
40,8,1,8
111,6,3,6
42,90,45,90
42,43,43,43
173,48,48,48
173,34,34,34
51,10,1,10
182,50,4,50
36,11,2,11
70,5,1,5
36,6,1,6
10,6,1,6
193,6,1,6
13,5,5,5
13,6,6,6
13,7,6,7
10,3480,318,3440
10,6,1,6
10,19,4,19
12,2,1,2
20,925,84,890
214,5,1,5
23,80,7,70
36,6,1,6
40,6,1,6
57,15,2,15
60,445,37,405
70,2,1,2
70,3,1,3
72,6,1,6
73,4,1,4
73,5,1,5
73,1,1,1
80,10,1,10
84,10,1,10
90,1515,126,1360
90,8,2,6
90,2,1,2
90,4,1,4
90,58,8,58
111,4,2,4
111,35,7,35
112,2,1,2
173,7,1,7
173,16,1,10
190,10,4,10
193,4295,265,2880
193,26,3,18
193,38,4,38
193,14,3,14
193,30,2,30
173,10,1,10
90,10,1,10
36,4,1,4
114,10,1,10
60,10,1,10
51,5168,421,5168
112,10,1,10
130,7,1,7
190,10,2,10
190,20,2,20
14,2,1,2
90,6,2,6
90,4,1,4
90,24,1,24
111,48,22,48
112,16,4,16
171,156,123,156
171,6,6,6
171,36,34,36
190,8,1,8
190,4,1,4
190,26,26,26
190,5,5,5
190,224,76,224
193,135,14,135
193,18,2,12
193,136,34,136
193,24,4,16
193,1155,92,525
40,2,1,2
40,2,1,2
100,10,1,10
10,10,1,10
20,6,3,6
20,9,3,9
20,10,2,10
42,5,1,5
20,2,1,2
20,8,1,8
111,10,1,10
60,100,11,100
31,10,1,10
81,3,3,3
81,9,3,9
42,3,1,3
42,1,1,1
42,1,1,1
90,10,1,10
10,4,1,4
10,1,1,1
10,2,1,2
10,4,1,4
10,2,1,2
10,2,1,2
12,10,1,10
12,30,9,30
12,38,11,38
14,5,1,5
14,120,12,120
14,138,14,138
14,820,81,820
18,1048,136,1048
231,70,7,70
233,6,1,6
233,14,1,14
30,2,1,2
40,10,1,10
42,340,35,325
51,10,1,10
51,15,2,15
51,57,8,57
55,162,26,162
71,8,1,8
831,133,12,133
90,3,1,3
100,8,1,8
100,2,1,2
111,10,1,10
112,6,1,6
128,10,2,10
190,50,5,50
36,11,2,11
36,6,1,6
120,2,1,2
120,8,1,8
180,27,2,20
120,10,1,10
120,2,1,2
120,8,1,8
14,12,2,12
110,5,1,5
114,8,1,8
182,273,1,273
190,390,1,390
120,8,1,8
120,2,1,2
20,5,1,5
110,5,1,5
114,2,1,2
20,10,1,10
51,10,1,10
20,10,1,10
182,258,1,258
14,8,2,8
36,11,2,11
42,10,1,10
42,1,1,1
51,2,1,2
90,2,1,2
17,564,71,564
17,6,3,6
17,8,5,8
17,154,73,154
10,102,17,102
1712,3,1,3
42,3,3,3
43,69,69,69
90,2,2,2
90,6,2,6
192,2,2,2
192,4,2,4
192,10,2,10
51,12,3,12
10,60,10,60
190,18,2,14
190,12,2,12
43,64,64,64
13,2,1,2
43,32,6,32
10,3,2,3
13,6,2,6
13,4,2,4
182,42,5,42
42,1,1,1
43,6,1,6
10,5,1,5
10,5,1,5
14,1,1,1
14,4,1,4
20,32,4,32
51,10,1,10
51,5,1,5
51,9,2,9
51,5,1,5
60,10,1,10
60,6,1,6
60,4,1,4
60,4,1,4
70,5,1,5
874,10,1,10
90,2,2,2
90,9,1,9
141,6,3,6
154,10,1,10
42,4,1,4
42,1,1,1
193,8,1,8
42,1,1,1
42,4,1,4
90,5,1,5
12,8,1,8
12,2,1,2
42,10,1,10
60,5,1,5
43,158,19,144
20,20,2,20
10,1,1,1
10,1,1,1
10,8,2,8
55,4,1,4
55,6,1,6
43,5,1,5
90,4,1,4
141,24,3,24
190,2,1,2
190,2,1,2
193,87,13,87
193,2,1,2
36,2,1,2
43,140,70,140
43,140,70,140
