EventCode,NumMentions,NumSources,NumArticles
36,10,1,10
174,60,15,60
60,60,15,60
71,54,9,54
71,126,9,126
36,2,1,2
180,10,1,10
13,84,28,84
110,2,1,2
60,100,16,100
174,100,16,100
51,30,5,30
80,2,1,2
80,2,1,2
61,20,2,20
42,9,3,9
193,30,30,30
13,112,28,112
51,20,5,20
874,146,73,146
51,10,1,10
43,9,3,9
193,60,30,60
114,84,23,84
111,2,1,2
114,120,24,120
111,6,1,6
190,5,1,5
25,5,5,5
112,4,1,4
150,5,1,5
100,2,1,2
100,8,1,8
114,2,1,2
114,2,1,2
16,4,1,4
25,45,5,45
193,3,1,3
193,2,1,2
120,72,9,72
36,10,2,10
36,10,3,10
36,8,2,8
125,10,2,10
125,10,3,10
125,8,2,8
161,5,3,5
161,2,2,2
36,4,4,4
36,4,3,4
36,9,3,9
40,2,2,2
125,10,2,10
125,9,3,9
125,8,2,8
20,24,12,24
20,3,1,3
20,1,1,1
20,5,1,5
20,1,1,1
46,20,2,20
112,48,6,48
80,42,6,42
36,20,2,20
46,20,2,20
111,22,17,22
111,67,17,67
111,21,16,21
111,23,17,23
111,84,16,84
112,2,1,2
112,3,1,3
112,12,6,12
80,10,5,10
40,2,2,2
43,48,24,48
40,6,1,6
10,48,24,48
40,10,1,10
36,10,1,10
90,4,1,4
90,3,1,3
160,2,1,2
160,8,1,8
42,10,1,10
141,1,1,1
141,2,1,2
193,2,1,2
141,2,1,2
40,6,1,6
862,2,1,2
1662,4,1,4
1662,6,1,6
84,10,1,10
42,65,15,65
130,4,1,4
130,6,1,6
40,2,1,2
40,4,1,4
40,4,1,4
42,5,5,5
42,13,5,13
43,1,1,1
43,4,1,4
20,605,54,595
36,5,1,5
42,223,25,223
42,4,1,4
42,30,4,30
42,126,15,118
42,32,6,32
42,2,1,2
43,8,1,8
120,18,9,18
172,36,9,36
173,36,9,36
190,10,1,10
190,49,10,49
192,20,3,20
46,10,1,10
195,1,1,1
20,10,1,10
43,19,1,19
173,18,4,18
173,8,3,8
173,24,3,24
10,6,2,6
13,56,6,56
14,10,2,10
30,10,1,10
36,10,1,10
36,12,1,12
40,10,1,10
40,5,1,5
40,6,2,6
42,1640,147,1640
42,12,2,12
46,18,3,18
46,2,1,2
50,18,3,18
51,351,97,351
60,10,1,10
100,6,1,6
13,47,11,47
30,4,1,4
36,126,12,126
42,61,9,61
42,176,30,174
42,2,1,2
43,126,9,126
62,2,1,2
112,141,24,141
1123,40,9,40
190,169,82,169
190,2,1,2
190,40,9,40
190,1,1,1
13,23,5,23
30,20,2,20
10,29,6,24
42,2,1,2
43,2,1,2
190,2,1,2
10,2,1,2
10,174,83,174
14,37,8,37
20,10,1,10
22,4,1,4
36,5,1,5
36,5,1,5
40,10,1,10
40,1,1,1
40,1,1,1
40,30,3,30
42,25,2,20
42,4,1,4
43,4,1,4
43,249,33,241
46,4,1,4
46,5,2,5
46,1,1,1
61,18,4,18
61,88,13,88
112,20,1,20
192,206,101,206
10,2,1,2
100,6,1,6
100,2,1,2
100,2,1,2
42,252,41,252
20,3,1,3
20,5,1,5
30,5,1,5
36,10,1,10
36,5,1,5
40,10,1,10
42,6,1,6
43,925,98,890
43,6,1,6
43,106,12,106
43,15,2,15
46,6,1,6
60,550,53,545
112,550,61,550
112,20,2,20
173,7,1,7
173,17,3,17
173,2,1,2
173,6,1,6
190,10,1,10
190,6,1,6
190,10,1,10
190,10,2,10
190,10,2,10
193,1465,122,1310
193,10,2,10
193,1,1,1
10,12,2,12
20,6,1,6
57,6,1,6
130,22,11,22
130,10,1,10
130,88,11,88
173,695,72,665
190,2,1,2
190,120,12,120
42,60,12,60
43,635,65,635
51,16,2,16
173,8,1,8
190,365,33,355
10,10,1,10
13,3,1,3
13,3,1,3
20,6,1,6
20,152,1,152
30,475,51,450
36,25,3,25
36,5,1,5
36,10,1,10
40,10,1,10
42,14,2,14
43,3140,177,2970
43,2,1,2
43,380,38,380
43,55,6,55
43,168,18,136
43,10,1,10
46,8,2,8
46,12,2,12
57,10,1,10
60,10,1,10
841,350,35,350
174,10,1,10
190,600,65,600
190,8,4,8
112,30,3,30
134,10,1,10
40,5,1,5
193,7,1,7
