EventCode,NumMentions,NumSources,NumArticles
46,10,1,10
43,6,1,6
20,4,1,4
20,4,1,4
172,4,1,4
172,4,1,4
42,2,1,2
43,2,1,2
20,12,1,12
172,8,1,8
172,16,1,16
42,2,1,2
43,2,1,2
51,1,1,1
90,230,14,230
73,115,14,115
73,115,14,115
10,18,3,18
13,12,3,12
51,3,1,3
90,6,6,6
90,6,6,6
42,6,1,6
51,6,1,6
42,2,1,2
43,2,1,2
42,2,1,2
43,2,1,2
51,8,2,8
50,1,1,1
51,1,1,1
51,1,1,1
90,224,55,224
173,2,1,2
173,2,1,2
193,6,3,6
173,4,1,4
173,2,1,2
111,39,39,39
111,39,39,39
111,234,39,234
190,86,85,86
111,3,1,3
13,5,1,5
36,22,5,22
36,28,5,28
111,1,1,1
111,1,1,1
13,10,1,10
14,10,1,10
36,1159,184,1159
10,6,1,6
1123,10,1,10
190,20,1,20
14,10,1,10
10,3,1,3
190,10,1,10
10,4,1,4
42,20,2,20
51,15,4,15
42,34,4,32
43,92,14,92
43,244,18,242
43,155,19,155
80,52,6,52
173,152,11,93
20,66,12,66
20,98,13,94
43,6,1,6
130,516,52,516
40,3,1,3
110,6,2,6
46,6,1,6
190,332,55,332
20,1745,157,1675
80,6,2,6
112,10,1,10
173,114,22,114
190,33,6,33
190,29,3,29
51,10,1,10
60,20,1,20
42,50,5,50
20,565,56,540
40,1,1,1
40,6,1,6
40,6,1,6
43,50,5,50
43,2,1,2
51,17,2,17
61,3,1,3
190,3,1,3
190,101,100,101
173,2,1,2
20,4,1,4
36,20,2,20
43,1,1,1
43,10,1,10
43,59,6,59
60,5,1,5
130,60,7,60
180,10,1,10
46,4,1,4
30,6,1,6
42,20,2,20
42,372,22,354
42,39,1,39
43,22,2,22
12,193,42,188
42,1,1,1
43,4,1,3
190,4,1,4
33,10,1,10
40,10,1,10
42,480,46,465
42,11,11,11
43,10,1,10
46,3,1,3
51,60,10,60
110,14,14,14
1123,210,20,210
173,3,2,3
180,6,1,6
190,10,1,10
43,48,7,48
31,10,1,10
51,10,5,10
36,18,6,18
36,9,6,9
36,103,12,103
42,151,3,149
84,140,1,140
100,64,1,64
1123,224,2,224
140,6,2,6
141,10,1,10
190,35,4,35
190,1,1,1
20,10,1,10
42,80,10,80
100,576,92,576
100,340,85,340
112,69,16,69
173,32,3,32
42,2,1,2
42,1,1,1
42,12,1,8
84,5,1,5
42,26,6,26
353,5,1,5
51,100,9,100
190,312,52,312
31,10,1,10
42,5,1,5
110,5,1,5
112,10,2,10
180,60,4,60
190,10,1,10
190,3,1,3
193,8,1,8
42,8,1,8
42,30,4,24
33,10,2,10
42,10,1,10
43,2,1,2
43,6,1,6
43,447,46,447
140,6,1,6
164,10,1,10
193,2,1,2
40,10,1,10
190,10,2,10
14,9,2,9
46,2,1,2
62,2,1,2
42,107,2,106
42,35,1,35
84,72,2,72
20,10,1,10
112,36,6,36
173,6,1,6
20,18,6,18
20,60,15,50
190,2,1,2
100,2,1,2
61,10,1,10
42,2,1,2
10,85,22,85
10,2,1,2
10,621,73,615
10,4,1,4
10,112,27,112
10,65,23,64
10,18,9,18
10,16,4,16
14,2,1,2
14,24,12,24
20,4,1,4
233,17,9,17
36,4,1,4
36,67,25,67
36,6,1,6
36,133,45,133
36,73,18,67
36,4,1,4
36,4,1,4
40,5,1,5
40,2,1,2
40,4,1,4
40,4,1,4
40,2,1,2
40,10,1,10
40,2,1,2
40,2,1,2
40,2,2,2
40,1,1,1
40,107,14,95
42,56,6,56
42,37,4,37
42,56,9,56
42,667,110,667
42,50,8,45
42,1144,276,1144
42,52,52,52
42,3,2,3
42,34,8,34
42,5,5,5
42,110,23,104
42,4,2,4
42,4,1,4
42,40,9,40
42,592,50,414
42,20,5,20
43,146,74,146
43,79,15,79
43,72,18,72
43,18,18,18
43,1,1,1
43,2,1,2
43,6,1,6
43,24,4,24
43,7,3,7
43,1,1,1
43,113,18,113
43,8,3,8
43,4,1,4
43,4,1,4
43,2,1,2
43,993,291,976
43,726,116,726
43,376,135,376
