EventCode,NumMentions,NumSources,NumArticles
190,3,1,3
190,2,1,2
190,1,1,1
190,4,1,4
190,4,1,4
36,5,1,5
36,192,13,192
36,56,15,56
36,5,1,5
112,4,2,4
112,4,2,4
112,12,2,12
110,112,16,112
14,4,2,4
138,4,2,4
61,1,1,1
60,324,81,324
60,81,81,81
173,4,1,4
172,65,65,65
172,48,16,48
14,16,2,16
61,160,81,160
20,10,1,10
13,372,62,372
138,16,2,16
31,10,1,10
46,222,19,222
125,62,19,62
125,174,19,174
51,2,1,2
36,16,2,16
36,4,2,4
172,65,65,65
172,65,65,65
172,32,16,32
46,222,19,222
51,1,1,1
51,1,1,1
10,65,65,65
51,4,1,4
61,15,10,15
61,5,5,5
42,8,1,8
42,2,1,2
42,10,1,10
10,30,6,30
130,28,7,28
130,42,7,42
45,1,1,1
45,7,1,7
193,12,2,12
193,4,2,4
193,4,2,4
51,184,1,184
51,276,1,276
20,196,30,196
128,159,30,159
20,124,30,124
43,8,1,8
43,2,1,2
43,10,1,10
36,15,3,15
18,2,1,2
18,2,1,2
18,6,1,6
112,6,1,6
112,2,1,2
46,96,16,96
46,32,16,32
46,16,8,16
100,6,1,6
51,4,1,4
70,4,1,4
13,2,1,2
10,1,1,1
84,2,1,2
84,3,1,3
26,6,1,6
26,2,1,2
40,12,2,12
10,6,1,6
40,6,1,6
61,1870,177,1870
90,6,2,6
111,6,2,6
172,4,1,4
43,4,1,2
43,16,1,8
40,280,28,280
40,12,2,12
40,4,2,4
40,4,2,4
40,2,1,2
13,169,19,169
26,2,1,2
40,2,1,2
20,10,1,10
20,30,3,30
22,25,3,25
311,3,1,3
311,2,1,2
71,3,1,3
71,2,1,2
80,430,44,430
111,1,1,1
173,6,3,6
30,2,1,2
190,2,1,2
20,4,1,2
42,4,1,2
40,6,1,6
20,16,1,8
42,16,1,8
40,4,2,4
40,4,2,4
44,8,2,8
51,1,1,1
100,4,1,4
51,1,1,1
51,2,1,2
61,1870,177,1870
40,280,28,280
80,141,35,141
172,4,1,4
80,216,35,216
111,1,1,1
181,30,3,30
10,2,1,2
10,8,1,8
10,2,1,2
10,6,1,6
10,6,1,6
10,4,1,4
10,42,7,42
50,1,1,1
50,1,1,1
50,3,1,3
100,12,1,12
1124,1,1,1
1124,36,35,36
10,40,4,40
50,1,1,1
50,1,1,1
50,3,1,3
40,3,1,3
10,2,1,2
13,14,7,14
10,14,7,14
173,24,6,24
36,10,1,10
173,10,1,10
36,8,1,8
36,8,1,8
36,4,1,4
46,1,1,1
46,1,1,1
46,3,1,3
10,48,5,48
10,8,3,8
42,222,23,222
100,36,12,36
173,66,8,61
190,10,1,10
112,5,1,5
120,16,5,16
120,2,1,2
43,8,1,8
43,2,1,2
14,2,2,2
33,1,1,1
42,75,10,75
42,61,12,39
42,88,16,76
51,12,2,12
60,1,1,1
112,14,2,14
1712,5,1,5
190,21,2,21
14,115,13,105
17,6,1,6
36,10,1,10
36,16,2,16
36,5,1,5
36,15,4,15
36,25,3,25
36,4,1,4
40,10,1,10
40,10,1,10
40,4,1,4
40,6,1,6
40,2,1,2
40,2,1,2
41,10,1,10
42,4,1,4
42,3,1,3
46,3,1,3
46,5,1,5
50,10,1,10
50,526,6,526
51,97,17,97
57,36,18,36
57,18,18,18
141,2,1,2
141,8,1,8
190,5,1,5
190,6,1,6
192,5,1,5
20,28,13,28
40,4,1,4
40,4,1,4
40,2,1,2
42,20,3,20
42,3,3,3
43,12,2,12
43,280,39,259
43,4,1,4
43,165,82,165
46,4,1,4
46,2,1,2
60,50,5,40
80,2,1,2
874,12,2,12
180,2,1,2
36,6,1,6
100,34,19,34
43,4,1,4
42,6,1,6
43,383,92,383
43,240,80,240
51,160,29,160
51,14,2,14
112,1,1,1
112,1,1,1
14,21,7,21
14,14,7,14
20,864,144,864
23,840,142,840
20,10,1,10
20,10,1,10
36,10,1,10
42,199,34,199
42,3,1,3
43,8,1,8
51,3,1,3
80,3,1,3
80,2,1,2
84,55,11,55
112,745,81,745
114,12,6,12
173,15,2,15
174,10,1,10
190,2080,194,1970
190,12,6,12
193,1,1,1
112,1195,5,1195
1243,51,17,51
190,16,5,16
190,13,7,13
193,25,5,25
20,10,1,10
20,430,42,430
36,10,1,10
36,1,1,1
36,20,2,20
40,30,3,30
42,6,1,6
43,855,85,825
43,6,1,6
51,98,13,98
100,68,34,68
100,272,34,272
100,2406,323,2406
110,75,12,75
111,75,12,75
130,4,1,4
1412,5,1,5
192,4,1,4
192,6,1,6
42,235,66,235
36,10,1,10
42,10,1,10
42,25,1,10
42,147,18,127
43,1900,157,1690
43,103,7,49
43,4,1,4
43,3,3,3
43,18,2,18
43,2,1,2
46,50,5,50
51,16,2,16
112,17,1,10
130,2,1,2
192,172,30,172
190,20,1,20
42,7,3,7
80,18,3,18
124,10,1,10
42,1,1,1
43,165,17,165
14,14,5,14
14,14,5,14
20,664,109,658
40,13,2,13
42,18,3,18
42,1,1,1
42,14,1,6
42,9,4,9
43,12,1,12
43,1118,103,1071
43,162,81,162
43,162,81,162
43,1158,210,1153
60,102,17,102
110,7,1,7
190,4,1,4
173,10,1,10
43,196,24,196
43,45,22,45
10,10,1,10
10,5,1,5
10,299,49,296
12,1,1,1
14,10,1,10
14,23,3,18
20,79,14,79
36,10,1,10
36,40,5,40
36,10,5,10
36,10,1,10
36,6,1,6
40,20,2,20
40,12,1,6
40,10,1,10
40,10,1,10
40,16,2,16
40,24,6,24
40,4,2,4
40,4,2,4
42,10,2,10
42,8,1,8
42,2,1,2
42,19,2,19
42,18,2,18
42,2,1,2
42,6,1,6
43,5,1,5
43,810,81,810
43,4,1,4
50,10,1,10
51,21,1,21
51,3,1,3
