EventCode,NumMentions,NumSources,NumArticles
60,15,3,15
14,2,1,2
81,10,1,10
51,10,1,10
193,11,9,11
193,44,9,44
42,22,11,22
42,22,11,22
46,110,8,110
111,3,1,3
36,5,1,5
15,160,16,160
46,10,1,10
46,108,8,108
173,20,2,20
173,16,2,16
173,2,1,2
15,4,1,4
15,2,1,2
15,10,1,8
193,16,1,8
13,10,1,10
43,44,11,44
173,44,11,44
14,8,1,8
30,12,12,12
30,93,14,93
30,12,12,12
30,15,14,15
20,1,1,1
20,1,1,1
43,2,1,2
43,6,1,6
42,6,1,6
42,2,1,2
30,92,23,92
173,28,8,28
173,48,8,48
20,51,17,51
20,51,17,51
20,68,17,68
173,20,1,20
57,10,1,10
180,90,9,90
160,14,7,14
84,24,2,24
84,4,2,4
84,4,2,4
160,14,7,14
160,42,7,42
43,2,1,2
43,6,1,6
141,2,1,2
141,1,1,1
43,206,25,206
180,132,56,132
180,424,53,424
71,9,3,9
71,5,3,5
71,5,3,5
42,2,1,2
42,2,1,2
42,6,1,6
43,2,1,2
10,15,3,15
43,24,4,24
42,8,4,8
42,8,4,8
42,16,4,16
42,8,4,8
43,16,4,16
40,2,2,2
40,2,2,2
40,14,2,14
40,2,2,2
36,5,1,5
46,5,1,5
40,2,2,2
40,2,2,2
40,14,2,14
40,2,2,2
51,4,2,4
51,16,2,16
42,10,1,10
42,14,14,14
43,6,1,6
90,1,1,1
46,9,1,6
46,3,1,2
46,2,1,2
46,1,1,1
42,63,24,63
42,2,1,2
43,86,17,82
46,10,1,10
1243,41,6,41
42,9,1,9
42,8,1,8
43,2,1,2
20,2,1,2
241,21,7,21
36,5,1,5
40,2,1,2
40,10,1,10
40,3,1,3
40,27,4,27
42,30,3,30
42,20,2,20
42,19,4,19
43,640,64,620
43,204,68,204
43,10,1,10
43,36,5,36
43,36,4,36
46,40,4,40
46,2,1,2
51,10,1,10
51,131,15,131
57,3,1,3
190,20,2,20
30,2,1,2
40,4,1,4
42,6,1,6
43,50,12,50
51,28,8,28
874,8,1,8
112,194,25,194
190,198,25,198
42,18,6,18
190,88,11,88
40,1,1,1
40,1,1,1
43,196,28,196
36,10,1,10
20,5,1,5
173,5,1,5
42,130,13,130
14,50,5,50
20,20,1,20
20,180,16,170
40,20,2,20
40,6,1,6
40,10,1,10
43,1075,102,955
51,10,1,10
60,4,1,4
112,445,42,435
112,5,5,5
112,10,10,10
173,20,2,20
190,5,1,5
190,208,25,208
190,1,1,1
190,4,1,4
190,5,5,5
190,128,16,128
190,11,11,11
190,5,5,5
190,27,16,27
191,60,7,60
46,196,49,196
46,300,50,300
112,30,6,30
20,14,2,14
20,70,2,70
20,3,1,3
20,36,4,36
25,3,1,3
36,15,2,15
40,10,1,10
40,10,1,10
40,5,1,5
42,570,58,570
42,5,1,5
43,3,1,3
51,90,6,90
71,2,1,2
112,102,17,102
112,73,18,73
42,10,1,10
43,9,8,9
311,15,3,15
42,66,7,56
42,10,1,10
43,685,69,650
112,20,3,20
73,2,1,2
73,2,1,2
36,2,1,2
36,8,1,8
40,5,1,5
40,2,1,2
40,10,1,10
20,841,85,841
20,435,63,435
20,3,1,3
42,324,85,302
42,162,145,162
43,46,19,46
43,122,14,106
190,34,9,33
20,63,15,63
42,5,1,5
10,3,1,3
13,10,2,10
13,10,1,10
20,36,4,36
20,13,2,13
31,6,1,6
36,10,1,10
40,60,5,60
42,5,1,5
42,75,37,75
42,110,37,110
43,240,77,240
43,84,10,84
43,2,1,2
51,950,82,920
51,6,1,6
70,36,6,36
100,36,6,36
111,3,1,3
190,55,9,55
190,11,9,11
190,10,1,10
190,75,11,75
190,9,9,9
190,6,1,6
190,80,18,80
42,15,5,15
46,15,2,15
36,16,2,16
36,4,2,4
20,70,7,70
42,320,25,320
42,12,2,12
84,3,1,3
42,74,9,71
42,2,1,2
51,44,15,44
51,44,17,44
42,30,2,30
51,30,2,30
110,5,1,5
36,2,1,2
36,8,1,8
43,2,1,2
43,8,1,8
46,10,1,10
13,20,1,20
20,6,1,6
20,6,1,6
20,278,22,278
30,1,1,1
30,3,1,3
43,211,69,211
46,8,2,8
51,15,3,15
10,18,9,18
42,18,9,18
46,4,1,4
40,10,1,10
43,16,4,16
190,2,1,2
33,25,2,25
36,15,2,15
36,6,1,6
43,468,47,468
43,20,2,20
51,430,43,430
14,122,16,122
30,10,2,10
30,12,1,12
36,5,1,5
40,116,12,116
43,352,34,352
51,290,29,265
51,6,1,6
51,9,2,9
80,10,1,10
120,10,1,10
130,5,1,5
190,12,2,12
190,4,2,4
190,4,2,4
51,19,5,19
190,5,1,5
20,56,16,56
20,34,10,34
36,240,13,220
36,10,1,10
42,220,21,220
42,2,1,2
42,2,1,2
42,8,1,8
43,10,1,10
50,3,1,3
42,20,4,19
43,315,32,315
46,70,3,50
46,20,2,20
73,6,1,6
100,10,2,10
110,390,75,390
46,10,1,10
51,8,1,8
51,2,1,2
43,40,3,40
42,34,6,34
80,10,1,10
80,10,1,10
138,10,1,10
138,10,1,10
42,10,1,10
10,6,1,6
51,6,1,6
43,15,3,15
190,4,1,4
190,1,1,1
42,6,1,6
42,24,2,24
42,16,2,16
51,4,1,4
84,175,2,175
84,172,1,172
190,5,1,5
192,4,1,4
192,181,75,181
192,19,19,19
192,34,28,34
193,46,45,46
193,328,46,328
10,8,2,8
20,4,1,4
190,45,5,45
36,10,1,10
42,11,2,11
42,4,1,4
42,3,1,3
43,3,1,3
193,15,3,15
40,4,1,4
42,2,1,2
42,2,1,2
43,247,69,247
43,30,14,30
43,6,2,6
10,10,1,10
10,24,3,24
10,7,7,7
10,15,11,15
10,4,1,4
13,30,5,30
14,23,4,23
14,12,3,12
15,8,2,8
20,12,2,12
20,6,1,6
20,2,1,2
20,20,10,20
20,26,7,26
20,385,56,385
20,4,1,4
25,4,1,4
30,50,11,50
31,100,7,70
32,10,1,10
32,20,1,20
36,1,1,1
36,8,1,8
36,2,1,2
40,6,1,6
40,4,1,4
40,10,1,10
40,4,1,4
40,4,1,4
40,8,2,8
40,8,2,8
40,4,1,4
42,375,41,350
42,6,1,6
42,37,8,37
42,7,7,7
42,4,1,4
42,40,17,40
42,9,2,9
42,268,41,265
42,2,1,2
42,423,62,423
42,8,1,4
42,20,2,20
42,2,1,2
42,170,80,170
42,53,6,53
42,12,2,12
42,2,1,2
42,63,8,56
42,30,15,30
42,120,59,120
42,4,2,4
42,66,10,62
42,49,11,49
42,13,2,13
42,1,1,1
42,437,123,437
42,4,1,4
43,2,1,2
43,4,1,4
43,12,2,12
43,2,1,2
43,2,1,2
43,20,5,20
