EventCode,NumMentions,NumSources,NumArticles
874,26,5,26
43,265,29,265
173,10,3,10
173,20,3,20
57,10,1,10
71,5,1,5
115,10,1,10
42,128,26,128
42,135,29,135
84,2,1,2
84,6,1,6
57,10,1,10
60,15,2,15
173,4,1,4
80,2,1,2
80,170,16,170
84,2,1,2
100,8,2,8
100,4,1,4
874,8,2,8
51,16,6,16
13,4,1,4
80,11,10,11
36,10,1,10
36,20,1,10
190,1,1,1
90,2,1,2
173,9,1,9
190,9,1,9
90,4,1,4
90,3,1,3
36,10,1,10
46,20,1,20
57,20,1,20
57,20,1,20
160,2,1,2
160,5,1,5
20,4,2,4
20,24,3,24
20,4,2,4
20,24,3,24
84,10,1,10
172,4,1,4
172,1,1,1
172,60,6,60
172,4,2,4
172,97,14,97
172,16,2,16
160,6,3,6
20,5,1,5
100,10,1,10
160,2,1,2
160,407,169,407
160,1,1,1
130,8,5,8
130,2,2,2
160,32,29,32
160,251,133,251
160,1281,193,1281
160,1,1,1
90,10,1,10
36,2,1,2
51,4,1,4
70,12,3,12
172,2,2,2
172,32,8,32
172,21,8,21
172,1,1,1
42,2,1,2
42,10,1,10
43,6,1,6
42,2,1,2
40,7,7,7
43,10,1,10
40,28,7,28
43,2,1,2
40,7,7,7
40,7,7,7
40,21,7,21
40,6,1,6
46,5,1,5
14,6,1,6
36,4,1,4
43,15,2,15
43,14,3,14
100,4,1,4
128,8,2,8
173,40,5,40
42,40,1,40
43,20,1,20
36,12,3,12
42,60,10,60
20,10,1,10
36,20,2,20
42,315,31,315
46,10,1,10
57,10,1,10
60,5,1,5
61,20,2,20
100,30,5,30
110,85,9,85
10,2,1,2
14,43,21,43
36,6,1,6
40,32,6,30
40,2,1,2
40,16,4,16
40,4,2,4
40,24,3,24
40,2,1,2
42,25,2,17
42,88,40,88
42,2,1,2
42,145,69,145
42,39,37,39
43,2,1,2
43,6,1,6
57,20,2,20
60,4,2,4
71,2,1,2
84,80,20,80
100,296,37,296
100,74,37,74
112,4,1,4
112,80,20,80
190,7,1,7
190,8,1,8
42,6,1,6
42,108,22,100
42,8,2,8
43,721,99,700
46,2,1,2
46,8,1,8
43,1,1,1
42,10,1,10
46,2,1,2
112,10,1,10
36,2,1,2
43,2,1,2
10,10,1,10
10,145,29,145
20,10,1,10
30,25,3,25
40,30,3,30
40,3,1,3
40,72,12,72
42,20,2,20
43,30,3,30
43,10,1,10
43,7,2,7
46,3,1,3
