EventCode,NumMentions,NumSources,NumArticles
120,4,1,4
43,10,1,10
100,215,42,215
20,15,2,15
42,10,1,10
190,25,5,25
51,540,134,540
51,10,10,10
51,9,9,9
51,122,122,122
190,22,10,22
190,30,13,30
71,5,1,5
10,23,11,23
10,12,12,12
10,584,122,584
160,22,10,22
160,30,13,30
20,8,2,8
20,12,2,12
120,12,4,12
172,24,4,24
160,50,25,50
160,104,51,104
160,167,72,167
160,218,56,218
20,6,1,6
20,4,1,4
10,14,13,14
172,24,12,24
172,98,13,98
160,69,69,69
51,8,1,8
43,20,1,20
172,16,4,16
42,20,1,20
160,4,4,4
51,2,1,2
51,160,1,160
51,160,1,160
111,6,1,6
42,61,8,46
42,1,1,1
62,8,1,8
42,12,2,12
32,100,14,100
52,56,6,56
52,8,6,8
61,5,1,5
100,32,6,32
100,48,6,48
111,40,6,40
163,4,1,4
13,6,1,6
14,16,2,16
20,419,86,419
20,122,27,122
40,10,1,10
42,1060,18,1055
42,6,1,6
42,4,1,4
43,10,1,10
43,5,1,5
46,20,2,20
60,800,81,800
100,756,76,756
112,16,2,16
130,12,2,12
40,4,2,4
42,1,1,1
42,112,18,76
42,26,4,26
112,4,2,4
173,12,4,12
190,10,1,10
190,16,4,16
36,4,1,4
42,10,1,10
42,168,19,157
42,4,1,4
130,3,1,3
43,5,1,5
50,10,1,10
841,10,1,10
90,1250,108,1135
173,5,1,5
173,144,1,144
180,4,1,4
180,2,1,2
190,6,1,6
190,4,1,4
190,6,2,6
190,12,4,12
81,10,1,10
20,10,1,10
40,1,1,1
40,4,1,4
42,10,1,10
43,4,2,4
43,8,2,8
43,8,2,8
51,10,1,10
112,1,1,1
112,4,1,4
1823,32,2,32
1823,14,2,11
190,2,1,2
40,6,1,6
20,10,1,10
36,10,1,10
40,10,1,10
40,2,1,2
43,144,1,144
100,189,32,189
100,124,32,124
141,60,5,50
190,10,1,10
190,264,88,264
40,6,3,6
40,3,3,3
43,6,1,6
100,4,1,4
100,6,1,6
43,75,14,66
40,3,1,3
42,10,1,10
42,10,1,10
51,534,66,528
51,405,103,397
13,6,6,6
13,10,1,10
40,18,1,10
40,8,1,8
40,3,1,3
42,310,36,310
42,1,1,1
42,329,63,329
43,6,1,6
43,16,1,16
43,8,2,8
46,10,1,10
46,6,1,6
46,6,1,6
50,10,1,10
51,16,1,10
841,95,7,95
112,941,108,941
130,329,63,329
42,542,77,542
14,50,4,50
42,6,1,6
42,10,1,10
40,10,1,10
43,7,5,7
43,2,2,2
46,1,1,1
42,6,1,6
130,5,1,5
42,580,127,571
141,249,117,245
141,2,1,2
190,498,78,454
112,32,5,20
100,60,29,60
20,20,2,20
36,10,1,10
43,45,6,45
80,15,2,15
112,3,1,3
114,10,1,10
120,70,7,60
173,230,20,220
100,4,1,4
100,1,1,1
20,285,21,245
43,25,6,25
13,256,72,256
13,512,71,512
40,20,1,10
42,170,15,150
51,205,22,205
130,30,29,30
130,120,29,120
43,10,1,10
46,4,1,4
42,2,1,2
42,18,2,18
40,5,1,5
40,4,1,4
100,3,1,3
130,90,1,90
130,360,1,360
42,137,47,137
42,33,6,21
42,39,36,39
42,188,46,188
46,10,1,10
57,2,1,2
190,10,1,10
190,10,1,10
130,10,1,10
20,10,1,10
36,2,1,2
36,2,1,2
42,1,1,1
42,8,1,8
42,2,1,2
42,61,7,61
42,4,2,4
42,1,1,1
43,2,1,2
43,2,1,2
90,2,1,2
100,2,2,2
100,8,2,8
112,24,3,24
190,29,3,28
192,30,3,30
51,6,2,6
190,20,5,20
190,4,1,4
42,489,116,489
190,638,159,638
42,5,1,5
42,234,76,234
40,12,2,12
190,10,1,10
110,36,6,36
110,24,6,24
112,56,6,44
112,24,6,24
36,2,1,2
43,202,46,201
190,8,2,8
40,2,1,2
30,510,2,510
43,4,1,4
42,5,5,5
42,117,58,117
42,8,7,8
130,136,65,136
10,6,3,6
14,36,9,36
14,30,29,30
14,120,29,120
14,90,29,90
16,710,67,690
20,8,1,8
36,6,1,6
36,2,1,2
36,24,3,24
36,14,4,14
40,1,1,1
40,20,5,20
42,299,139,297
42,6,3,6
42,4,1,4
42,248,31,248
42,266,94,252
42,79,8,79
43,405,25,385
43,9,9,9
43,314,138,314
43,2,1,2
43,691,76,691
43,6,3,6
43,220,46,209
43,10,10,10
43,192,37,192
46,15,8,15
46,7,7,7
51,10,1,10
51,4,1,4
60,4,1,4
80,22,4,22
80,12,3,12
110,78,68,78
110,68,67,68
110,294,69,284
112,30,3,30
112,6,2,6
112,31,6,31
112,12,6,12
173,13,4,13
181,6,3,6
190,285,28,275
190,2,1,2
190,56,14,56
36,6,2,6
190,21,6,21
20,75,22,75
20,5,5,5
14,30,29,30
14,30,29,30
40,10,1,10
40,10,1,10
45,4,1,4
45,4,1,4
46,2,1,2
51,217,21,175
112,2,1,2
112,2,1,2
17,10,1,10
36,10,1,10
10,8,3,8
111,10,1,10
130,8,2,8
190,10,1,10
20,10,1,10
120,10,1,10
71,2,1,2
10,4,1,4
10,15,5,15
172,5,1,5
10,10,5,10
43,71,9,56
43,1,1,1
51,61,8,61
51,6,1,6
62,8,1,8
36,2,2,2
36,2,2,2
40,2,2,2
40,4,2,4
40,10,2,10
36,14,2,14
36,2,2,2
10,8,1,4
60,4,1,4
172,2,1,2
172,6,1,6
51,20,1,20
42,8,2,8
172,4,1,4
43,20,3,20
43,4,2,4
43,4,2,4
36,2,2,2
36,2,2,2
40,2,2,2
