EventCode,NumMentions,NumSources,NumArticles
173,40,10,40
120,80,8,80
20,6,1,6
173,60,10,60
173,40,10,40
173,60,10,60
46,13,7,13
190,10,1,10
51,2,1,2
180,24,3,24
51,1,1,1
180,6,3,6
14,2,1,2
15,74,37,74
31,78,39,78
15,148,37,148
31,156,39,156
46,18,6,18
46,7,7,7
46,3,3,3
61,5,1,4
61,3,1,3
61,2,1,2
15,74,37,74
15,82,39,82
114,10,5,10
114,18,3,18
114,6,3,6
31,78,39,78
31,72,36,72
112,4,1,4
115,4,1,4
70,6,1,6
112,6,1,6
115,6,1,6
46,10,1,10
190,8,1,8
46,10,1,10
128,2,1,2
128,8,1,8
36,22,20,22
36,22,20,22
36,69,21,69
100,21,6,21
42,2,2,2
42,4,2,4
190,2,1,2
190,8,1,8
193,4,1,4
193,2,1,2
55,120,11,120
120,176,18,176
51,2,2,2
193,2,1,2
193,2,1,2
190,2,1,2
20,6,1,6
20,2,1,2
100,28,6,28
181,2,1,2
10,16,8,16
43,2,2,2
43,10,2,10
43,4,2,4
10,2,2,2
51,2,2,2
20,15,2,15
172,15,2,15
20,2,1,2
43,5,1,5
42,5,1,5
20,12,2,12
15,4,1,4
42,4,1,4
42,1,1,1
10,5,1,5
10,15,3,15
10,4,1,4
15,4,1,4
15,2,1,2
20,9,3,9
40,6,1,6
40,2,1,2
40,2,1,2
90,4,1,4
20,4,2,4
20,4,2,4
20,3,3,3
20,9,3,9
43,5,1,5
10,6,1,6
10,2,1,2
10,2,1,2
20,9,3,9
36,52,11,52
40,24,3,24
40,10,1,10
50,6,1,6
50,4,1,4
164,10,1,10
42,6,1,6
42,2,1,2
42,17,3,17
42,10,1,10
36,20,2,20
42,2,1,2
42,148,46,148
100,6,1,6
100,6,1,6
173,28,7,28
190,2,1,2
193,262,27,262
40,17,4,17
40,4,1,4
40,2,1,2
43,60,24,57
43,40,20,40
20,5,1,5
20,21,5,21
20,10,1,10
20,740,74,740
30,10,1,10
36,10,1,10
40,10,1,10
40,8,1,8
42,920,86,910
42,6,1,6
42,91,10,79
51,20,1,10
51,2,1,2
51,209,30,209
60,10,1,10
61,5,1,5
71,5,1,5
100,730,73,730
112,75,8,75
112,6,1,6
112,98,4,98
112,6,1,6
112,20,1,20
130,24,3,24
36,10,1,10
84,35,1,35
13,2,1,2
13,29,11,29
35,1,1,1
35,1,1,1
36,23,6,23
36,16,1,16
40,4,1,4
42,58,7,58
42,1,1,1
42,30,4,30
42,1,1,1
42,228,53,224
43,322,67,303
46,6,1,6
46,8,1,8
110,31,6,31
40,6,1,6
43,373,34,319
43,174,18,174
46,10,1,10
60,16,2,16
120,10,1,10
43,10,1,10
36,10,1,10
40,1,1,1
43,1,1,1
42,755,82,725
42,2,1,2
112,6,1,6
173,10,1,10
40,10,1,10
43,5,1,5
46,1,1,1
20,30,3,30
20,54,11,54
36,10,1,10
40,6,1,6
42,1120,105,1080
42,30,5,30
43,10,1,10
43,2,1,2
51,6,1,6
51,4,1,4
110,275,25,270
43,38,5,38
43,10,1,10
42,47,7,47
42,8,4,8
20,10,1,10
36,5,1,5
36,10,1,10
40,10,1,10
40,4,1,4
42,10,1,10
42,19,3,19
42,5,3,5
43,40,3,30
43,10,1,10
43,12,2,12
51,20,2,20
80,80,9,80
841,215,1,215
173,46,5,46
46,10,1,10
51,6,1,6
51,2,2,2
20,91,20,81
43,307,54,295
43,4,4,4
40,2,1,2
43,10,1,10
43,686,84,666
43,450,47,450
51,2,1,2
51,2,1,2
51,248,48,238
51,38,5,38
111,388,97,388
42,8,2,8
127,1,1,1
10,135,14,127
10,12,2,12
10,3,1,3
10,2,1,2
20,55,5,45
20,6,2,6
20,1095,183,1077
25,72,11,72
30,6,1,6
30,4,1,4
30,6,1,6
40,8,1,8
40,6,1,6
40,4,1,4
40,2,1,2
42,935,107,915
42,33,7,33
42,3,1,3
42,6,3,6
43,84,13,84
46,40,5,40
46,24,4,24
51,5,1,5
100,6,1,6
124,190,19,190
190,10,1,10
190,1,1,1
190,1,1,1
38,60,10,60
42,10,1,10
42,132,43,132
42,2,1,2
42,3,1,3
42,79,9,73
51,147,48,147
134,5,1,5
30,138,15,138
36,148,16,148
130,258,43,258
42,2,1,2
173,2,1,2
173,2,1,2
42,1,1,1
42,105,8,105
42,73,17,73
57,2,1,2
38,20,10,20
46,10,1,10
193,4,1,4
40,2,1,2
43,19,6,19
43,1,1,1
46,8,2,8
164,6,1,6
14,8,3,8
42,112,19,112
42,3,2,3
42,6,1,6
42,6,1,6
43,3,1,3
120,30,3,30
42,48,12,48
100,51,17,51
30,24,4,24
61,10,1,10
20,695,58,655
20,5,1,5
20,2,1,2
20,22,3,22
20,238,58,238
30,745,75,735
36,5,1,5
36,6,2,6
42,6,1,6
43,36,4,36
51,5,1,5
57,10,1,10
110,3,1,3
190,10,1,10
20,18,2,18
36,10,1,10
42,10,1,10
43,656,80,656
1123,24,3,24
1123,6,3,6
42,4,1,2
190,151,20,151
