EventCode,NumMentions,NumSources,NumArticles
172,48,9,48
172,14,7,14
172,18,9,18
36,292,23,292
36,18,1,18
36,6,1,6
36,26,20,26
36,35,22,35
36,26,20,26
36,35,22,35
36,27,20,27
173,6,1,6
36,27,20,27
40,100,10,100
173,4,1,4
10,84,1,84
36,84,1,84
36,4,1,4
36,6,1,6
36,4,1,4
10,126,1,126
36,126,1,126
40,654,140,654
40,100,10,100
46,937,178,937
140,20,1,20
36,4,2,4
36,44,6,44
36,4,2,4
10,4,1,4
10,4,1,4
13,4,1,4
13,4,1,4
10,12,1,12
13,12,1,12
100,3,3,3
100,2,1,2
100,24,10,24
100,5,4,5
175,20,1,20
36,10,2,10
36,10,1,10
190,64,16,64
190,16,16,16
70,4,1,4
100,1,1,1
100,11,9,11
100,66,20,66
100,139,19,139
100,108,13,108
40,54,8,54
40,82,8,82
40,2,1,2
40,2,1,2
40,14,8,14
40,14,8,14
73,2,1,2
10,10,1,10
42,36,4,36
43,36,4,36
17,15,5,15
73,8,1,8
193,40,4,40
40,4,1,4
40,5,1,5
40,5,1,5
42,92,8,85
46,4,1,4
14,2,1,2
20,241,31,231
36,10,1,10
42,96,17,96
43,9,1,9
43,236,41,236
51,1,1,1
190,52,4,48
43,30,3,30
10,4,2,4
43,225,2,225
46,6,2,6
46,18,2,18
42,2,1,2
42,28,3,28
12,16,8,16
12,35,11,35
14,4,2,4
14,74,8,74
14,113,12,113
20,20,2,20
30,15,2,15
40,10,1,10
40,10,1,10
60,20,2,20
61,5,1,5
172,30,8,30
172,75,12,75
10,7,5,7
10,7,7,7
10,1,1,1
10,7,7,7
40,4,1,4
43,98,14,98
110,6,2,6
42,11,4,11
42,33,7,33
46,4,1,4
46,6,1,6
124,36,4,36
40,8,1,8
40,2,1,2
43,3435,249,3400
100,15,2,15
173,5,1,5
173,10,1,10
173,47,7,47
175,492,65,492
45,5,1,5
50,14,7,14
50,96,11,96
192,5,1,5
10,180,31,180
14,150,15,135
20,930,94,890
20,6,1,6
20,22,4,22
20,94,10,78
36,20,1,20
40,4,1,4
43,30,3,30
51,10,2,10
51,31,5,31
52,10,2,10
111,42,7,42
111,180,31,180
130,10,1,10
182,80,8,80
190,5,1,5
46,10,1,10
40,4,1,4
43,4,1,4
