EventCode,NumMentions,NumSources,NumArticles
173,4,1,4
110,4,1,4
173,4,1,4
50,60,6,60
110,2,1,2
173,2,1,2
10,40,20,40
10,2,1,2
120,84,12,84
120,28,12,28
120,290,28,290
114,290,28,290
10,3,1,3
193,2,1,2
193,2,1,2
130,20,2,20
120,28,12,28
241,10,1,10
120,10,1,10
173,6,1,6
82,2,1,2
112,8,2,8
112,12,2,12
173,36,6,36
20,7,4,7
114,7,4,7
10,4,4,4
831,5,1,5
190,10,1,10
120,10,5,10
40,105,21,105
120,27,6,27
120,4,2,4
40,8,3,8
40,8,3,8
40,105,21,105
171,12,1,12
171,4,1,4
171,4,1,4
46,48,23,48
46,48,23,48
10,4,4,4
15,4,1,4
173,24,6,24
22,4,2,4
114,82,32,82
114,201,33,201
46,48,23,48
46,48,23,48
114,60,30,60
114,6,3,6
114,58,29,58
114,6,3,6
46,111,35,111
22,6,2,6
20,7,4,7
20,49,24,49
120,58,28,58
46,111,35,111
841,351,35,351
40,2,1,2
40,6,1,6
353,21,4,21
353,18,2,18
40,20,4,20
192,16,3,16
192,2,2,2
192,2,2,2
40,10,1,10
20,8,1,8
80,18,2,18
20,2,1,2
111,56,14,56
40,10,1,10
40,2,1,2
40,6,1,6
80,2,1,2
13,16,8,16
10,13,2,13
10,8,8,8
10,27,27,27
10,7,2,7
44,4,1,4
353,12,2,12
40,20,4,20
353,20,4,20
30,18,3,18
30,12,3,12
46,10,1,10
46,10,1,10
40,70,6,70
40,70,6,70
30,18,3,18
30,12,3,12
71,18,3,18
71,12,3,12
61,10,1,10
43,19,2,15
43,20,2,20
43,10,1,10
80,1,1,1
80,4,1,4
36,4,1,4
42,102,10,102
43,77,10,77
43,2,1,2
190,4,2,4
17,16,1,16
36,2,1,2
36,14,2,14
42,58,12,58
42,2,1,2
42,7,1,6
190,2,1,2
190,1,1,1
42,103,12,103
190,6,1,6
190,4,1,4
42,10,1,10
12,140,11,70
20,96,10,96
30,2,1,2
30,1,1,1
30,395,40,395
36,20,2,20
40,30,3,30
40,3,2,3
40,10,1,10
42,5,1,5
42,6,1,6
42,15,2,15
43,505,51,470
46,10,1,10
51,100,10,100
51,5,1,5
60,200,19,190
71,78,25,78
80,2,1,2
80,13,2,13
110,2,1,2
110,50,6,50
1121,411,132,411
130,42,7,42
141,5,1,5
186,290,26,290
186,10,1,10
36,6,1,6
36,4,1,4
40,18,3,18
42,277,19,125
42,1,1,1
43,4,2,4
43,4,2,4
43,31,6,31
43,101,19,99
110,18,6,18
15,4,1,4
40,6,1,6
40,2,1,2
43,295,40,294
51,168,33,168
51,16,2,16
51,73,22,73
62,10,1,10
112,202,42,202
112,7,7,7
10,3,1,3
20,20,3,20
30,65,7,65
30,18,6,18
353,5,1,5
36,10,1,10
42,30,3,30
42,4,1,4
42,6,1,6
42,30,3,30
43,5,1,5
43,24,4,24
43,30,2,30
43,10,2,10
50,5,1,5
51,10,1,10
80,10,1,10
84,5,1,5
100,10,1,10
100,30,3,30
111,90,13,90
111,4,1,4
112,40,5,40
112,4,2,4
130,285,30,275
170,2,1,2
173,15,2,15
173,1,1,1
173,16,8,16
173,48,6,48
173,4,2,4
173,124,20,124
190,2390,225,2105
193,40,4,40
40,10,1,10
112,474,77,474
14,5,1,5
20,20,2,20
20,10,1,10
20,7,2,7
353,30,3,30
36,10,1,10
36,2,1,2
36,2,1,2
36,6,1,6
40,2,2,2
40,5,1,5
43,755,66,715
46,10,1,10
46,3,1,3
51,10,1,10
72,5,1,5
73,25,3,25
100,10,1,10
190,32,9,32
190,40,8,40
46,10,1,10
40,10,1,10
43,6,1,6
20,10,1,10
33,145,15,140
36,4,1,4
36,2,1,2
36,3,1,3
40,10,1,10
40,28,7,28
40,42,7,42
40,14,7,14
42,15,1,10
42,10,1,10
42,10,1,10
42,10,1,10
42,10,1,10
42,15,1,15
43,10,1,10
43,20,1,20
43,22,5,22
43,4,1,4
43,10,1,10
43,2,1,2
43,34,5,34
43,5,1,5
43,41,4,41
43,14,2,14
43,16,2,16
43,40,3,30
46,5,1,5
61,5,1,5
71,2,1,2
84,30,3,30
111,10,1,10
128,30,3,30
173,30,3,30
51,6,2,6
173,33,8,33
