EventCode,NumMentions,NumSources,NumArticles
57,10,1,10
114,5,1,5
130,1,1,1
160,30,5,30
160,20,5,20
172,750,68,750
43,10,5,10
43,50,6,50
42,44,22,44
20,2,1,2
20,2,1,2
36,2,1,2
36,2,1,2
20,1,1,1
20,1,1,1
20,2,1,2
173,1,1,1
190,1,1,1
14,5,1,5
20,23,23,23
114,5,1,5
40,122,10,122
14,3,1,3
20,3,1,3
874,40,4,40
874,34,13,34
42,40,5,40
42,10,5,10
173,6,1,6
173,4,1,4
20,2,1,2
20,4,1,4
36,4,1,4
36,2,1,2
20,3,1,3
20,3,1,3
57,10,1,10
17,8,1,8
61,46,23,46
61,23,23,23
110,46,23,46
110,23,23,23
173,4,1,4
190,4,1,4
14,2,1,2
20,1,1,1
130,4,1,4
14,1,1,1
20,1,1,1
40,122,10,122
130,108,18,108
130,36,18,36
130,36,18,36
15,4,1,4
15,6,1,6
173,4,1,4
173,6,1,6
46,4,1,4
46,4,1,4
12,4,1,4
12,4,1,4
40,30,15,30
14,1,1,1
14,1,1,1
46,4,1,4
46,4,1,4
13,2,1,2
36,268,34,268
10,18,9,18
40,38,18,38
73,3,3,3
73,3,3,3
10,1702,214,1702
10,3,1,3
10,3,1,3
10,72,9,72
36,2,1,2
40,36,18,36
80,60,10,60
10,28,7,28
23,26,3,26
23,4,2,4
60,26,3,26
60,4,2,4
124,26,3,26
124,4,2,4
40,4,4,4
90,53,8,53
30,115,23,115
130,20,2,20
80,36,9,36
190,80,8,80
190,2,1,2
190,5,1,5
173,16,2,16
173,4,1,4
46,2,1,2
46,8,1,8
10,3,1,3
51,4,1,4
51,1,1,1
46,2,1,2
46,8,1,8
43,156,2,156
15,25,5,25
51,5,1,5
42,156,2,156
17,2,1,2
17,8,1,8
30,30,1,30
10,2,1,2
13,2,1,2
190,10,1,10
42,6,1,6
51,6,1,6
51,4,1,4
60,2,1,2
60,8,1,8
10,220,21,220
20,23,5,23
43,30,4,30
36,28,4,28
42,88,11,88
