EventCode,NumMentions,NumSources,NumArticles
112,2,1,2
10,174,21,174
71,1,1,1
71,1,1,1
10,10,1,10
10,29,21,29
10,58,21,58
81,2,1,2
81,5,1,5
173,24,4,24
84,3,1,3
84,1,1,1
84,1,1,1
10,5,1,5
173,5,1,5
112,70,32,70
10,50,10,50
43,18,6,18
173,2,1,2
43,6,6,6
43,6,6,6
173,6,1,6
253,39,39,39
253,39,39,39
51,5,1,5
193,10,1,10
10,24,12,24
10,24,12,24
42,6,6,6
10,24,12,24
841,24,12,24
42,6,6,6
10,10,1,10
43,1,1,1
46,3,1,3
46,2,1,2
46,2,1,2
42,3,1,3
42,2,1,2
46,3,1,3
31,174,28,174
31,166,23,166
36,30,5,30
175,250,25,250
1014,66,66,66
1014,66,66,66
40,66,66,66
40,66,66,66
1014,396,66,396
40,396,66,396
10,2,1,2
10,2,1,2
12,10,1,10
40,66,66,66
40,66,66,66
57,3,3,3
57,6,3,6
46,4,1,4
46,3,1,3
46,3,1,3
87,2,2,2
87,4,3,4
45,6,3,6
57,18,3,18
10,97,80,97
10,8,8,8
90,37,23,37
90,8,8,8
36,304,33,304
57,3,3,3
57,6,3,6
100,220,22,220
120,24,6,24
45,12,4,12
87,12,4,12
40,10,1,10
13,10,5,10
42,10,1,10
43,10,1,10
10,15,5,15
50,10,1,10
46,1,1,1
51,2,1,2
51,2,1,2
51,2,1,2
51,2,1,2
51,6,1,6
51,6,1,6
81,7,5,7
36,3,1,3
46,9,1,9
46,1,1,1
43,2,1,2
14,20,4,20
14,30,4,30
180,24,4,24
12,12,2,6
36,4,1,2
40,3,1,3
40,4,1,4
42,108,18,108
43,280,34,271
43,4,1,4
43,4,1,4
43,153,32,151
46,10,1,10
190,2,1,2
130,33,4,33
14,6,2,6
25,10,1,10
40,5,1,5
40,3,1,3
40,10,1,10
42,18,8,18
42,28,14,28
51,1130,102,1050
51,102,11,102
51,91,6,91
51,20,2,20
61,10,1,10
61,5,1,5
112,190,19,170
13,70,30,70
23,2,1,2
25,2,1,2
30,18,3,18
40,12,2,12
42,8,1,8
42,4,2,4
42,68,14,68
42,8,2,6
42,525,51,477
42,421,46,421
43,4,1,4
43,2,2,2
43,298,55,284
51,4,2,4
841,20,4,20
100,82,10,82
100,344,50,344
130,168,43,168
16,467,46,449
36,8,1,8
36,2,1,2
10,3,1,3
42,5,1,5
62,4,1,4
62,6,1,6
20,10,1,10
43,955,94,920
43,1522,147,1522
46,5,1,5
80,240,30,240
841,175,19,175
100,11,2,11
145,2,1,2
145,3,1,3
166,10,1,10
173,20,2,20
1823,970,86,860
190,2250,195,2090
190,360,36,360
190,20,4,20
193,10,1,10
190,40,4,40
10,30,3,30
36,5,1,5
40,10,2,10
