EventCode,NumMentions,NumSources,NumArticles
57,100,12,100
42,16,1,16
26,6,1,6
26,4,1,4
30,2,1,2
30,3,1,3
43,8,1,8
43,16,1,16
10,1,1,1
10,4,1,4
10,3,1,3
100,62,7,62
42,2,1,2
874,1,1,1
874,4,1,4
10,2,1,2
10,4,1,4
57,24,12,24
57,20,4,20
57,24,12,24
190,20,2,20
70,50,5,50
100,20,2,20
42,2,1,2
40,1,1,1
42,2,1,2
173,1,1,1
173,3,1,3
43,2,1,2
43,4,1,4
43,4,1,4
43,2,1,2
43,16,1,16
42,16,1,16
51,4,1,4
10,18,3,18
180,18,3,18
180,6,3,6
46,6,2,6
46,56,6,56
100,10,4,10
100,56,6,56
20,48,7,48
46,6,2,6
46,56,6,56
13,6,3,6
20,22,7,22
20,10,4,10
15,192,48,192
13,6,3,6
10,5,3,5
180,6,3,6
61,36,11,36
30,1,1,1
43,16,4,16
61,4,4,4
40,8,1,8
40,4,1,4
40,4,1,4
20,4,1,4
42,1,1,1
174,10,1,10
10,2,1,2
13,5,1,5
130,5,1,5
10,2,1,2
10,2,1,2
42,1,1,1
42,1,1,1
115,5,1,5
115,5,1,5
51,1,1,1
51,1,1,1
51,6,1,6
20,5,1,5
84,1,1,1
84,2,1,2
10,2,1,2
42,8,4,8
43,2,1,2
61,8,4,8
40,16,4,16
164,2,1,2
164,2,1,2
36,52,4,36
36,8,4,8
50,24,4,24
1124,6,1,6
43,149,16,149
51,4,2,4
61,2,1,2
190,2,1,2
42,6,1,6
36,112,11,112
36,2,1,2
42,425,44,425
42,425,67,417
43,5,5,5
90,212,27,212
36,8,2,8
36,12,2,12
36,12,2,12
51,20,1,20
51,20,2,20
61,10,1,10
80,5,1,5
112,35,6,35
36,1,1,1
36,2,1,2
42,180,60,180
42,120,60,120
42,6,1,6
42,1,1,1
42,3,1,2
42,10,5,10
190,48,9,48
190,4,1,4
20,123,29,121
36,144,19,144
51,232,46,221
130,91,13,91
164,20,2,20
40,5,1,5
42,20,2,20
43,3,1,3
100,306,51,306
130,170,17,170
160,100,11,100
173,20,2,20
16,115,13,115
30,15,2,15
42,10,1,10
42,13,3,13
14,14,6,14
14,4,4,4
40,10,1,10
40,5,1,5
40,10,1,10
42,10,1,10
42,11,2,11
42,10,1,10
100,10,1,10
110,5,1,5
190,10,1,10
36,10,1,10
40,6,1,6
20,178,3,178
46,5,1,5
40,4,1,4
190,5,1,5
190,4,1,4
190,2,1,2
36,10,1,10
36,4,2,4
36,10,1,10
36,5,1,5
42,105,9,105
42,554,86,530
43,1379,197,1336
112,4,1,4
120,269,77,263
1712,4,1,4
100,114,19,114
190,498,27,444
20,140,13,130
30,78,14,78
32,36,12,36
32,36,12,36
36,10,1,10
36,4,2,4
36,10,1,10
36,8,2,8
40,10,1,10
42,17,7,17
42,16,7,16
42,12,6,12
42,44,8,44
43,49,44,49
43,279,20,279
100,6,1,6
112,395,124,395
112,264,123,264
112,87,14,87
141,48,3,40
100,2,1,2
40,2,1,2
42,8,2,8
42,23,1,10
42,4,1,4
42,3,1,3
42,3,1,3
42,5,1,5
42,504,4,504
42,12,2,12
42,27,3,27
43,165,17,165
43,38,8,38
36,88,11,88
31,20,1,10
40,125,15,125
42,446,55,446
46,10,1,10
164,6,1,6
42,10,1,10
43,8,1,8
20,586,73,586
